题目,思路,章节
大数定律,"（变量自解释，不赘述）（注意有些公式需要变量独立性，一般用这种公式题目自然会给定）
1、概率估计：$P\{|X-\mu| \geqslant \varepsilon\} \leqslant \frac{\sigma^{2}}{\varepsilon^{2}}$（切比雪夫不等式）
2、依概率收敛：$\lim_{n \rightarrow \infty} P\{|X_n-A| \le \varepsilon \}=1$，对任意$\varepsilon > 0$成立
3、切比雪夫大数定律：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{1}{n} \sum_{i=1}^{n} X_{i}-\frac{1}{n} \sum_{i=1}^{n} E\left(X_{i}\right)\right|<\varepsilon\right\}=1$
4、辛钦大数定律：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{1}{n} \sum_{k=1}^{n} X_{k}-\mu\right|<\varepsilon\right\}=1$（独立同分布的序列）
5、伯努利大数定律：$\lim_{n \rightarrow \infty} P\left\{\left|\frac{X_n}{n}-p\right|<\varepsilon\right\}=1$或者$\lim_{n \rightarrow \infty} P\left\{\left|\frac{X_n}{n}-p\right| \geqslant \varepsilon\right\}=0$，任意$\varepsilon>0$（$n$次独立重复试验中事件发生的次数$X_n$）",概率论公式
求解分布函数,"0、分布函数公式：$F(x) = P\{ X \le x\}=\int_{-\infty}^xf(t)dt,-\infty <x<+\infty$
1、离散型（一维和二维）：离散的点代入，分情况求解即可（注意相同值的合并）
2、一般型（二维）：$F_{Z}(z)=P\{Z \leqslant z\}=P\{g(X, Y) \leqslant z\}=\iint_{g(x, y) \leqslant z} f(x, y) \mathrm{d} x \mathrm{~d} y$
3、一般型（一维）：$F_{Y}(y)=P\{Y \leqslant y\}=P\{g(X) \leqslant y\}=\int_{g(x) \leqslant y} f_{X}(x) \mathrm{d} x, $
3、离散连续组合：$F_{Z}(z)=P\{Z \leqslant z\}=P\{g(X, Y) \leqslant z\} =\sum_{i} P\left\{X=x_{i}\right\} P\left\{g(X, Y) \leqslant z \mid X=x_{i}\right\}=\sum_{i} p_{xi} P\left\{g\left(x_{i}, Y\right) \leqslant z \mid X=x_{i}\right\}$
4、相加的函数（变量不独立）：$F_{Z}(z)=P\{Z \leqslant z\}=P\{X+Y \leqslant z\}$=$\int_{-\infty}^{+\infty} \mathrm{d} x \int_{-\infty}^{z-x} f(x, y) \mathrm{d} y$或者$\int_{-\infty}^{+\infty} \mathrm{d} y \int_{-\infty}^{z-y} f(x, y) \mathrm{d} x$
5、相加的函数（变量独立）： $f(x, y)=f_{X}(x) f_{Y}(y)$，则$f_{Z}(z)=\int_{-\infty}^{+\infty} f_{X}(x) f_{Y}(z-x) \mathrm{d} x$或者$f_{Z}(z)=\int_{-\infty}^{+\infty} f_{X}(z-y) f_{Y}(y) \mathrm{d} y$，这两个公式称为卷积公式,记为$f_{X} * f_{Y}$
6、独立的正态分布：$X \sim{N}\left(\mu_{1}, \sigma_{1}^{2}\right), Y \sim N\left(\mu_{2}, \sigma_{2}^{2}\right)$，$Z \sim N\left(a\mu_{1}+b\mu_{2}, a^2\sigma_{1}^{2}+b^2\sigma_{2}^{2}\right)$",概率论公式
曲率公式,"1、曲率计算公式（注意：曲率与二阶导符号无关）:$k=\frac{\left|y^{\prime \prime}\right|}{\left(1+y^{\prime 2}\right)^{3 / 2}}$
2、曲率半径：$R=\frac{1}{k}=\frac{\left(1+y^{\prime 2}\right)^{3 / 2}}{\left|y^{\prime \prime}\right|}$
3、曲率中心坐标：$(\alpha=x-\frac{y^{\prime}\left(1+y^{\prime 2}\right)}{y^{\prime \prime}}, \beta=y+\frac{1+y^{\prime 2}}{y^{\prime \prime}})$",高等数学公式
概率计算,"加法公式：
1、$P(A\cup B) = P(A)+P(B)-P(AB)$
2、$P(A\cup B \cup C) = P(A)+P(B)+P(C)-P(AB)-P(AC)-P(BC)+P(ABC)$
——————————————————————————
减法公式：
1、$P(A - B) = P(A)-P(AB)$
2、$A-B=A\overline B \rightarrow P(A-B) = P(A\overline B)$ （注意：如果AB互相独立，则$P(A-B) = P(A\overline B)=P(A)P(\overline B)$，利用了相互独立的公式）
——————————————————————————
乘法公式：
1、$P(A)>0 \rightarrow P(AB)=P(A)P(B|A)$（非独立时乘法运算）
2、$P(A_1A_2\cdots A_n) > 0 \rightarrow P(A_1A_2\cdots A_n)=P(A_1)P(A_2|A_1)\cdots P(A_n|A_1A_2\cdots A_{n-1})$
3、推论：$P(AB) \le P(A)$
——————————————————————————
全概率公式：
1、条件：$\mathop{ \bigcup }\limits_{{k=1}}^{{n}}\mathop{{B}}\nolimits_{{k}}=\Omega \ \& \ \mathop{{B}}\nolimits_{{i}}\mathop{{B}}\nolimits_{{j}}= \emptyset { \left( {i \neq j,i,j=1,2,3, \cdots n} \right) } \ \& \ P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } > 0{ \left( {k=1,2,3, \cdots n} \right) }$；（称$B_1,B_2,\cdots B_n$为$\Omega$的一个完备事件组）
2、结论：$P{ \left( {A} \right) }=\mathop{ \sum }\limits_{{k=1}}^{{n}}P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } \cdot P{ \left( {A \left| \mathop{{B}}\nolimits_{{k}}\right. } \right) }$
——————————————————————————
贝叶斯公式：
1、条件：$\mathop{ \bigcup }\limits_{{k=1}}^{{n}}\mathop{{B}}\nolimits_{{k}}=\Omega \ \& \ \mathop{{B}}\nolimits_{{i}}\mathop{{B}}\nolimits_{{j}}= \emptyset { \left( {i \neq j,i,j=1,2,3, \cdots n} \right) } \ \& \ P(A) > 0,P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } > 0{ \left( {k=1,2,3, \cdots n} \right) }$
2、结论：$P{ \left( {\mathop{{B}}\nolimits_{{k}} \left| A\right. } \right) }=\frac{{P \left( {\mathop{{B}}\nolimits_{{k}}} \left) \cdot P{ \left( {A \left| {\mathop{{B}}\nolimits_{{k}}}\right. } \right) }\right. \right. }}{{\mathop{ \sum }\limits_{{i=1}}^{{n}}P{ \left( {\mathop{{B}}\nolimits_{{i}}} \right) } \cdot P{ \left( {A \left| \mathop{{B}}\nolimits_{{i}}\right. } \right) }}}=\frac{{P \left( {\mathop{{B}}\nolimits_{{k}}} \left) \cdot P{ \left( {A \left| {\mathop{{B}}\nolimits_{{k}}}\right. } \right) }\right. \right. }}{P(A)}$，换算得到$P(B|A)=P(B)\cdot \frac{P(A|B)}{P(A)}$
3、作用：新信息出现后的B概率=B概率 X 新信息带来的调整（理解调整式子$\frac{P(A|B)}{P(A)}$的计算，依据代数来理解，无法理解，记住公式）",概率论公式
向量相关,"1、向量积（叉积、外积）：$\boldsymbol{a} \times \boldsymbol{b}=\left|\begin{array}{ccc}\boldsymbol{i} & \boldsymbol{j} & \boldsymbol{k} \\a_{x} & a_{y} & a_{z} \\b_{x} & b_{y} & b_{z}\end{array}\right|$，模$|\boldsymbol{c}|=|\boldsymbol{a}||\boldsymbol{b}| \sin \theta$，其中$\theta$为$\boldsymbol{a}$与$\boldsymbol{b}$的夹角，方向由右手规则从$\boldsymbol{a}$转向$\boldsymbol{b}$来确定，垂直于$\boldsymbol{a}$与$\boldsymbol{b}$所决定的平面；向量积具有分配律；$|\boldsymbol{c}|=|\boldsymbol{a}||\boldsymbol{b}| \sin \theta$也是以向量$a,b$为边的平行四边形的面积
2、混合积：$(a b c)=\left|\begin{array}{lll}a_{x} & a_{y} & a_{z} \\b_{x} & b_{y} & b_{z} \\c_{x} & c_{y} & c_{z}\end{array}\right|$；具有轮换对称性（行列式的行交换性）",高等数学公式
独立判断,"1、独立定义：$P\{X \le a, Y \le a\} = P\{X \le a\}P\{Y \le a\}$，$a$、$b$可以取具体值
2、正态分布相关系数为0",概率论公式
线性方程的解,"二阶常系数齐次线性方程（$y^{\prime \prime}+p y^{\prime}+q y=0$）的通解：对于特征方程$r^{2}+p r+q=0$的两个根$ r_{1}, r_{2} $
1、两个不相等的实根$r_{1}, r_{2}$：方程通解为$ y=C_{1} \mathrm{e}^{r_1 x}+C_{2} \mathrm{e}^{r_2 x}$
2、两个相等的实根$r_{1}=r_{2}$：方程通解为$y=\left(C_{1}+C_{2} x\right) \mathrm{e}^{r_1 x}$
3、一对共轭复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解为$y=\mathrm{e}^{a x}\left(C_{1} \cos \beta x+C_{2} \sin \beta x\right)$
——————————————————————————
$n$阶常系数齐次线性方程（$y^{(n)}+p_{1} y^{(n-1)}+p_{2} y^{(n-2)}+\cdots+p_{n-1} y^{\prime}+p_{n} y=0$）的通解：对于特征方程的根
1、单实根$r$：方程通解对应一项$ C \mathrm{e}^{rx}$
2、$k$重实根$r$：方程通解对应k项${e}^{r x}\left(C_{1}+C_{2} x+\cdots+C_{k} x^{k-1}\right)$
3、一对单复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解对应两项${e}^{a x}\left(C_{1} \cos \beta x+C_{2} \sin \beta x\right)$
4、一对$k$重单复根$r_{1,2}=\alpha \pm \mathrm{i} \beta$：方程通解为对应$2k$项${e}^{{ax}}[(C_{1}+C_{2} x+\cdots+C_{k} x^{k-1}) \cos \beta x+(D_{1}+D_{2} x+\cdots+D_{k} x^{k-1}) \sin \beta x]$
——————————————————————————
线性常系数非齐次方程特解：
1、$f(x)=\mathrm{e}^{\lambda x} P_{m}(x)$型（$\lambda$为已知常数，$P_{m}(x)$为$x$的$m$次已知多项式）：待定特解设为$y^{}=x^{k} \mathrm{e}^{\lambda x} Q_{m}(x)$（$k$是特征方程根$\lambda$的重数，$Q_{m}(x)$为系数待定的$x$的$m$次多项式）
2、$f(x)=\mathrm{e}^{\lambda x}\left[P_{l}(x) \cos w x+P_{n}(x) \sin w x\right]$型（$\lambda$为已知常数，$P_{l}(x)$与$P_{n}(x)$分别为$x$的$l$次、$x$的$n$次的已知多项式）：待定特解设为$y^{}=x^{k} \mathrm{e}^{\lambda x}\left[R_{m}^{(1)}(x) \cos w x+R_{m}^{(2)}(x) \sin w x\right]$（$k$是特征方程根$\lambda+\mathrm{i} w\left(\right.$或$\lambda-\mathrm{i} w$) 的重数，$R_{m}^{(1)}(x)$与$R_{m}^{(2)}(x)$为系数待定的$m$次多项式，$m=\max \{l, n\}$）",高等数学公式
二元极值,"二元极值的判断条件：（充分条件）
设函数$z=f(x, y)$在点$\left(x_{0}, y_{0}\right)$的某邻域内有连续的二阶偏导数，且$f_{x}^{\prime}\left(x_{0}, y_{0}\right)=0, f_{y}^{\prime}\left(x_{0}, y_{0}\right)=0$。令$f_{x x}^{\prime \prime}\left(x_{0}, y_{0}\right)=A, f_{x y}^{\prime \prime}\left(x_{0}, y_{0}\right)=B, f_{y y}^{\prime \prime}\left(x_{0}, y_{0}\right)=C$，则
(1)$A C-B^{2}>0$时，$f(x, y)$在点$\left(x_{0}, y_{0}\right)$取极值,且$\left\{\begin{array}{l}\text { 当 } A>0 \text { 时取极小值, } \\ \text { 当 } A<0 \text { 时取极大值. }\end{array}\right.$
(2)$A C-B^{2}<0$时，$f(x, y)$在点$\left(x_{0}, y_{0}\right)$无极值
(3)$A C-B^{2}=0$时，不能确定$f(x, y)$在点$\left(x_{0}, y_{0}\right)$是否有极值，还需进一步讨论（一般用 极值定义)
——————————————————————————
条件极值求解-拉格朗日乘数法：（多个条件的也是类似的）
1、函数$f(x, y)$在条件$\varphi(x, y)=0$下的极值的必要条件，先构造拉格朗日函数$F(x, y, \lambda)=f(x, y)+\lambda \varphi(x, y)$
2、解方程组$\left\{\begin{array}{l} \frac{\partial F}{\partial x}=\frac{\partial f}{\partial x}+\lambda \frac{\partial \varphi}{\partial x}=0 \\ \frac{\partial F}{\partial y}=\frac{\partial f}{\partial y}+\lambda \frac{\partial \varphi}{\partial y}=0 \\ \frac{\partial F}{\partial \lambda}=\varphi(x, y)=0 \end{array}\right.$
3、所有满足此方程组的解$(x, y, \lambda)$中$(x, y)$是函数$f(x, y)$在条件$\varphi(x, y)=0$下可能的极值点",高等数学公式
一维分布,"分布：
1、0-1分布：1重伯努利试验
2、二项分布：n重伯努利试验，$n$次独立重复试验中成功的次数；$X \sim B(n,p)$
3、几何分布：独立重复试验，每次试验成功率为$p$，则在k次试验时首次试验才成功的概率，$P\{X=k\}=p q^{k-1}, k=1,2, \cdots$
4、超几何分布：N件产品含有M件次品，从中取$n$件（不放回抽取），令事件$X$为抽取的$n$件产品含有的次品个数，则$X$服从参数为$n$，$M$，$N$的超几何分布，$P\{X=k\}=\frac{\mathrm{C}_{M}^{k} \mathrm{C}_{N-M}^{n-k}}{\mathrm{C}_{N}^{n}}, k=l_{1}, \cdots, l_{2}$
5、泊松分布：$P(x) = \frac{\lambda^k}{k!}e^{-\lambda},X \sim P(\lambda)$ ：（$k$的范围是$0,1,2...$）一段时间内电话总机接到的次数，候车的旅客数，保险索赔次数
6、均匀分布：$X \sim U(a,b)$
7、指数分布：$f(x) = \begin{cases} \lambda e^{-\lambda x}, & x > 0, \\[5ex] 0, & x \le 0, \end{cases} \ \ \lambda >0$；$X \sim E(\lambda)$
8、正态分布：$f(x)=\frac{1}{\sqrt{{2\pi}}\times\sigma}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2}$；$X \sim N(\mu,\sigma^2)$
——————————————————————————
指数分布的无记忆性：
1、$P\{X>t\}=\int_{t}^{+\infty} \lambda \mathrm{e}^{-\lambda t} \mathrm{~d} t=\mathrm{e}^{-\lambda t}, t>0$
2、$P\{X>t+s \mid X>s\}=\frac{P\{X>t+s\}}{P\{X>s\}}=\frac{\mathrm{e}^{-\lambda(t+s)}}{\mathrm{e}^{-\lambda s}}=\mathrm{e}^{-\lambda t}=P\{X>t\}, t, s>0$（利用定义式推导）
备注：求解指数分布的条件概率时可能用的到
——————————————————————————
正态分布性质：
1、标准化形式：$F(x)=\Phi\left(\frac{x-\mu}{\sigma}\right)$
2、范围求解：$P\{a<X \leqslant b\}=\Phi\left(\frac{b-\mu}{\sigma}\right)-\Phi\left(\frac{a-\mu}{\sigma}\right), a<b$
3、性质：概率密度 $f(x)$ 关于 $x=\mu$ 对称, $\varphi(x)$ 是偶函数（根据图像可以推导）
4、性质：$\Phi(-x)=1-\Phi(x), \Phi(0)=\frac{1}{2}$（根据图像可以推导）
5、性质：当 $X \sim N(0,1)$, 有 $P\{|X| \leqslant a\}=2 \Phi(a)-1$（根据图像可以推导）
6、性质：若$X_{1} \sim N\left(\mu_{1}, \sigma_{1}^{2}\right), X_{2} \sim N\left(\mu_{2}, \sigma_{2}^{2}\right)$，$X_{1}$与$X_{2}$相互独立，则$a X_{1}+b X_{2} \sim N\left(a \mu_{1}+b \mu_{2}, a^{2} \sigma_{1}^{2}+b^{2} \sigma_{2}^{2}\right)$（正态分布的组合性质）
——————————————————————————
二项分布转换成泊松分布：（泊松定理）
1、转换关系：$\lim_{n \rightarrow \infty}np_n=\lambda, n\ge1000,p\le0.1 \rightarrow \lim _{n \rightarrow \infty} C_{n}^{k} p_{n}^{k}\left(1-p_{n}\right)^{n-k}=\frac{\lambda^{k}}{k !} \mathrm{e}^{-\lambda}$",概率论公式
相似与合同,"相似：
1、关系：$A \sim B$
2、说明：存在可逆矩阵$P$，使得$A=P^{-1}BP$
3、对角化：$P^{-1}AP=\Lambda$；反求$A$，$A=P\Lambda P^{-1}$（根据特征值或者特征向量反求矩阵问题）
——————————————————————————
合同：
1、关系：$A \simeq B$
2、说明：存在可逆阵$C$，使得$C^TAC=B$
3、对角化：正交对角化$Q^{-1}AQ=Q^TAQ=\Lambda$；反求$A$，$A=Q\Lambda Q^{-1}=Q\Lambda Q^{T}$（根据特征值或者特征向量反求矩阵问题）",线性代数公式
求正交向量组,"1、设向量组$\boldsymbol{\alpha}_{1}, \boldsymbol{\alpha}_{2}, \boldsymbol{\alpha}_{3}$线性无关
2、令$\boldsymbol{\beta}_{1}=\boldsymbol{\alpha}_{1}$；$\boldsymbol{\beta}_{2}=\boldsymbol{\alpha}_{2}-\frac{\left(\boldsymbol{\alpha}_{2}, \boldsymbol{\beta}_{1}\right)}{\left(\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{1}\right)} \boldsymbol{\beta}_{1}$；$\boldsymbol{\beta}_{3}=\boldsymbol{\alpha}_{3}-\frac{\left(\boldsymbol{\alpha}{3}, \boldsymbol{\beta}_{1}\right)}{\left(\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{1}\right)} \boldsymbol{\beta}_{1}-\frac{\left(\boldsymbol{\alpha}_{3}, \boldsymbol{\beta}_{2}\right)}{\left(\boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{2}\right)} \boldsymbol{\beta}_{2}$
3、则$\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{3}$两两正交
4、再将$\boldsymbol{\beta}_{1}, \boldsymbol{\beta}_{2}, \boldsymbol{\beta}_{3}$单位化, 取$\boldsymbol{\gamma}_{1}=\frac{\boldsymbol{\beta}_{1}}{\left|\boldsymbol{\beta}_{1}\right|}, \boldsymbol{\gamma}_{2}=\frac{\boldsymbol{\beta}_{2}}{\left|\boldsymbol{\beta}_{2}\right|}, \boldsymbol{\gamma}_{3}=\frac{\boldsymbol{\beta}_{3}}{\left|\boldsymbol{\beta}_{3}\right|}$",线性代数公式
协方差与相关系数,"定义：
1、协方差定义：$\operatorname{Cov}(X, Y)=E\{[X-E(X)][Y-E(Y)]\}$
2、相关系数定义：$\rho_{X Y}=\frac{\operatorname{Cov}(X, Y)}{\sqrt{D(X)} \sqrt{D(Y)}}$
——————————————————————————
协方差性质：
1、协方差公式1：$C o v ( X , Y ) = E ( X Y ) - E ( X ) E ( Y ) $（公式展开）
2、协方差公式2：$D ( X \pm Y ) = D ( X ) + D ( Y ) \pm 2 Cov ( X , Y )  $（方差展开公式）
3、协方差性质1：$Cov(X, Y)=Cov(Y, X)$
4、协方差性质2：$\operatorname{Cov}(a X, b Y)=a b \operatorname{Cov}(X, Y)$，其中$a,b$为常数（协方差简化计算）
5、协方差性质3：$\operatorname{Cov}\left(X_{1}\pm X_{2}, Y\right)=\operatorname{Cov}\left(X_{1}, Y\right)\pm \operatorname{Cov}\left(X_{2}, Y\right)$（协方差简化计算）
——————————————————————————
相关系数性质：
1、相关系数性质1：$\left|\rho_{X Y}\right| \leqslant 1$
2、相关系数性质2：$\mid \rho_{X Y} \mid=1$的充分必要条件是存在常数$a$和$b$，其中$a \neq 0$, 使得$P\{Y=a X+b\}=1$（即相关是两个变量存在线性关系，相反如果完全没有线性关系，那么相关系数就是0）",概率论公式
傅里叶级数,"将函数展开为傅里叶级数：（周期为$2\pi$）
1、$[-\pi, \pi]$上展开：$\left\{\begin{array}{l} a_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \cos n x \mathrm{~d} x, \quad n=0,1,2, \cdots \\ b_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \sin n x \mathrm{~d} x, \quad n=1,2, \cdots \end{array}\right.$
2、$[-\pi, \pi]$上奇偶函数的情况：$f(x)$为奇函数时$\begin{cases}a_{n}=0, & n=0,1, \cdots \\ b_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \sin n x \mathrm{~d} x, & n=1,2, \cdots\end{cases}$，$f(x)$为偶函数时$\begin{cases}a_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \cos n x \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$
3、$[0, \pi]$上展为正弦或展为余弦级数：正弦展开为$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \sin n x \mathrm{~d} x, & n=1,2, \cdots\end{cases}$；余弦展开为$\begin{cases}a_{n}=\frac{2}{\pi} \int_{0}^{\pi} f(x) \cos n x \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$（相当于将半区间延拓成奇函数或者偶函数形式，延拓之后与上述2公式一致）
——————————————————————————
将函数展开为傅里叶级数：（周期为$2l$）
1、$[-l, l]$上展开：$\left\{\begin{array}{l} a_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \cos n x \mathrm{~d} x, \quad n=0,1,2, \cdots \\ b_{n}=\frac{1}{\pi} \int_{-\pi}^{\pi} f(x) \sin n x \mathrm{~d} x, \quad n=1,2, \cdots \end{array}\right.$
2、$[-l, l]$上奇偶函数的情况：$f(x)$为奇函数时$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{l} \int_{0}^{l} f(x) \sin \frac{n \pi x}{l} \mathrm{~d} x, & n=1,2, \cdots\end{cases}$，$f(x)$为偶函数时$\begin{cases}a_{n}=\frac{2}{l} \int_{0}^{l} f(x) \cos \frac{n \pi x}{l} \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$
3、$[0, l]$上展为正弦或展为余弦级数：正弦展开为$\begin{cases}a_{n}=0, & n=0,1,2, \cdots \\ b_{n}=\frac{2}{l} \int_{0}^{l} f(x) \sin \frac{n \pi x}{l} \mathrm{~d} x, & n=1,2, \cdots\end{cases}$（奇延拓）；余弦展开为$\begin{cases}a_{n}=\frac{2}{l} \int_{0}^{l} f(x) \cos \frac{n \pi x}{l} \mathrm{~d} x, & n=0,1,2, \cdots \\ b_{n}=0, & n=1,2, \cdots\end{cases}$（偶延拓）",高等数学公式
反常积分,"1、正态分布：$\int_{-\infty}^{+\infty} \mathrm{e}^{-x^{2}} \mathrm{~d} x=2 \int_{0}^{+\infty} \mathrm{e}^{-x^{2}} \mathrm{~d} x=\sqrt{\pi}$
2、幂与对数：设$a$与$p$都是常数,且$a>1$则$\int_{a}^{+\infty} \frac{\mathrm{d} x}{x \ln ^{p} x} \begin{cases}\text { 收敛, } & \text { 当 } p>1 \\ \text { 发散, } & \text { 当 } p \leqslant 1\end{cases}$（直接积分即可证明）",高等数学公式
