题目,思路,章节
秩计算公式,"矩阵的秩的计算：
1、矩阵的乘积：$r(AB) \leqslant min\{r(A),r(B)\}$；$r(AB) \leqslant r(A)+r(B)$（积的秩可能（等号）会变小）（对于两个列向量，有$r\left(\boldsymbol{\beta} \boldsymbol{\alpha}^{\mathrm{T}}\right) \leqslant r(\boldsymbol{\beta})=1$，可以使用方程组来解释，或者向量的相关性判断）
2、矩阵的乘积且结果为$O$：$AB=O \rightarrow r(A)+r(B) \leqslant n$，其中n为中间阶数（$A_{mn}$与$B_{ns}$）（推导：将矩阵相乘转换为方程组的解的问题，$B$是$A$的解构成的矩阵，即可得到$r(B)\leqslant n - r(A) $，其中n是A的列，也是未知数的个数）
3、矩阵的乘积且其中一个可逆：$r(AB)=r(B)$，其中$A$可逆
4、矩阵的和差：$r(A)-r(B)\leqslant r(A\pm B) \leqslant r(A)+r(B)$（矩阵积或者和的秩可能（等号）会小于两个矩阵的秩和）
5、两个矩阵互为转置：$r(A^TA)= r(A)$（$A$不可逆也行：可以利用特征值来证明，$A^TA$与$A$的特征值为平方关系）（$A$不是方阵也成立，如果$A$不是方阵，那么可以得出$A^TA \ne E$，用秩的关系证明）
6、矩阵的组合：$max\{r(A),r(B)\}  \leqslant r(A,B) \leqslant r(A)+r(B)$
7、单个矩阵$A_{mn}$性质为$0 \leqslant A_{mn} \leqslant min\{ m,n \}$（矩阵的秩小于行数或者列数的最小值）
8、伴随矩阵与原矩阵秩的关系：对$n(n \geqslant 2)$阶矩阵$\boldsymbol{A}, r\left(\boldsymbol{A}^{*}\right)= \begin{cases}n, & r(\boldsymbol{A})=n, \\ 1, & r(\boldsymbol{A})=n-1, \\ 0, & r(\boldsymbol{A}) \leqslant n-2 .\end{cases}$",线性代数公式
方向导数、梯度、散度、旋度,"方向导数：（数值）
0、方向导数定义：二维：$\lim _{t \rightarrow 0^{+}} \frac{f\left(x_{0}+t \cos \alpha, y_{0}+t \cos \beta\right)-f\left(x_{0}, y_{0}\right)}{t}$；三维：：$\left.\frac{\partial f}{\partial l}\right|_{\left(x_{0}, y_{0}, z_{0}\right)}$=$\newline\lim _{t \rightarrow 0^{+}} \frac{f\left(x_{0}+t \cos \alpha, y_{0}+t \cos \beta, z_{0}+t \cos \gamma\right)-f\left(x_{0}, y_{0}, z_{0}\right)}{t}$（注意$t$是趋近于$0^+$的）
1、方向导数公式（可微）：二维：$\frac{\partial f}{\partial l}|_{\left(x_{0}, y_{0}\right)}= f_{x}^{\prime}(x_{0},y_{0}) \cos \alpha+f_{y}^{\prime}\left(x_{0}, y_{0}\right) \cos \beta$，其中$\cos \alpha, \cos \beta$为方向$l$的方向余弦；三维：$\frac{d f}{\partial l}|{\left(x_{0}, y_{0}, z_{0}\right)} =f_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right) \cos \alpha+f_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right) \cos \beta+f_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right) \cos \gamma =\left\{f_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), f_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), f_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\} \cdot e$，其中$e=\{\cos \alpha, \cos \beta, \cos \gamma\}$是$l$的方向的单位向量
2、平面曲线法向量求导：$\frac{\partial u}{\partial \boldsymbol{n}} \mathrm{d} s=\frac{\partial u}{\partial x} \cos (\boldsymbol{n}, x) \mathrm{d} s+\frac{\partial u}{\partial y} \cos (\boldsymbol{n}, y) \mathrm{d} s$，其中$\cos (\boldsymbol{n}, x) ,\cos (\boldsymbol{n}, y)$是法向量对$x$轴和$y$轴的方向余弦；
3、三维曲面法向量求导：$\oiint_{\Sigma} \frac{\partial u}{\partial n} \mathrm{~d} S=\oiint_{\Sigma}\left(\frac{\partial u}{\partial x} \cos \alpha+\frac{\partial u}{\partial y} \cos \beta+\frac{\partial u}{\partial z} \cos \gamma\right) \mathrm{d} S$
——————————————————————————
梯度：（向量）
1、二维梯度公式：$\operatorname{grad} u(x, y)=\frac{\partial u}{\partial x} i+\frac{\partial u}{\partial y} j$
2、三维梯度公式：$\operatorname{grad} u(x, y, z)=\frac{\partial u}{\partial x} i+\frac{\partial u}{\partial y} j+\frac{\partial u}{\partial z} k$
3、方向导数与梯度的关系：$\left.\frac{\partial u}{\partial{l}}\right|_{P}=\left.\operatorname{grad} u\right|_{P} \cdot \boldsymbol{e}_{l}=|\operatorname{grad} u(x_0, y_0, z_0) |cos \theta$，其中$\theta$是梯度方向与$e_l$的夹角（梯度方向的方向导数最大，最大值等于该点梯度向量的模）
——————————————————————————
散度：（数值）
1、散度公式：设有向量场$\boldsymbol{A}(x, y, z)=P(x, y, z) \boldsymbol{i}+Q(x, y, z) \boldsymbol{j}+R(x, y, z) \boldsymbol{k}$，其中$P,Q,R$有连续的一阶偏导，则向量场在一点的散度为$\operatorname{div} \boldsymbol{A}=\frac{\partial P}{\partial x}+\frac{\partial Q}{\partial y}+\frac{\partial R}{\partial z}$
——————————————————————————
旋度：（向量）
1、旋度公式：设有向量场$\boldsymbol{A}(x, y, z)=P(x, y, z) \boldsymbol{i}+Q(x, y, z) \boldsymbol{j}+R(x, y, z) \boldsymbol{k}$，其中$P,Q,R$有连续的一阶偏导，则向量场在一点的旋度为$\operatorname{rot} \boldsymbol{A}=\left|\begin{array}{ccc}\boldsymbol{i} & \boldsymbol{j} & \boldsymbol{k} \\\frac{\partial}{\partial x} & \frac{\partial}{\partial y} & \frac{\partial}{\partial z} \\P & Q & R\end{array}\right|$",高等数学公式
零碎公式,"其它公式（AB独立时）：
1、$P(A-B) = P(A\overline B)=P(A)P(\overline B)$（事件的减法公式与独立时的进一步推广）
2、$P(A\cup B) = 1-P(\overline A \  \overline B) = 1-P(\overline A)P(  \overline B)$（利用事件的图形关系可以解释）
——————————————————————————
值的构造：
1、最大值变量表示：$U=\max (X, Y)=\frac{X+Y+|X-Y|}{2}$

2、最小值变量表示：$V=\min (X, Y)=\frac{X+Y-|X-Y|}{2}$
——————————————————————————
其它公式：
1、独立公式$P(AB)=P(A)P(B)$
2、$P(A)=1-P(\overline A)$
3、不相容计算：$P\left(A_{1} \cup A_{2} \cup \cdots \cup A_{n}\right)=\sum_{i=1}^{n} P\left(A_{i}\right)$
4、$A \subset B\rightarrow P(A) \leqslant P(B)$",概率论公式
数字特征,"1、样本均值：$\bar{X}=\frac{1}{n} \sum_{i=1}^{n} X_{i}$
2、样本方差：$S^{2}=\frac{1}{n-1} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{2}=\frac{1}{n-1}\left(\sum_{i=1}^{n} X_{i}^{2}-n \bar{X}^{2}\right)$
3、标准差：$S$
4、样本$k$阶(原点) 矩：$A_{k}=\frac{1}{n} \sum_{i=1}^{n} X_{i}^{k}, k=1,2, \cdots$
5、样本k阶中心矩：$B_{k}=\frac{1}{n} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{k}, k=2,3, \cdots$（中心是根据样本均值来定的）",概率论公式
空间积分,"核心关系：
1、第一第二线积分关系：$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\int_{L}(P \cos \alpha+Q \cos \beta) \mathrm{ds}$，其中$\cos \alpha, \cos \beta$为有向曲线$L$的切线的方向余弦
2、第一第二面积分关系：：$\iint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=\iint_{\Sigma}(P \cos \alpha+Q \cos \beta+R \cos \gamma) \mathrm{d} S$，其中$\cos \alpha, \cos \beta, \cos \gamma$为曲面$\Sigma$上点$P(x, y, z)$处指定侧的法线向量的方向余弦
——————————————————————————
第一类二维曲线积分：
1、参数方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{\beta} f(x(t), y(t)) \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)} \mathrm{d} t$
2、直角坐标方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{b} f(x, y(x)) \sqrt{1+y^{\prime 2}(x)} \mathrm{d} x$
3、极坐标方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{\beta} f(r(\theta) \cos \theta, r(\theta) \sin \theta) \sqrt{r^{2}+r^{\prime 2}} \mathrm{~d} \theta$
——————————————————————————
第一类三维曲线积分：
1、转参数方程：$ds$化为$dt$，关系为$ds = \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)+z^{\prime 2}(t)} \mathrm{d} t$）
——————————————————————————
第二类曲线积分：（二维）
1、参数式：$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\int_{a}^{\beta}\left[P(x(t), y(t)) x^{\prime}(t)+Q(x(t), y(t)) y^{\prime}(t)\right] \mathrm{d} t$
2、格林公式：$\oint_{L} P \mathrm{~d} x+Q \mathrm{~d} y=\iint_{D}\left(\frac{\partial Q}{\partial x}-\frac{\partial P}{\partial y}\right) \mathrm{d} x \mathrm{~d} y$
3、路径无关：$\frac{\partial P}{\partial y}=\frac{\partial Q}{\partial x}, \forall(x, y) \in D$
——————————————————————————
第二类曲线积分：（三维）
1、参数式法：曲线$L:\left\{\begin{array}{l}x=x(t) \\ y=y(t), t \in[\alpha, \beta] \text { 或 } t \in[\beta, \alpha]\\ z=z(t),\end{array}\right.$，则$\int_{L} P \mathrm{~d} x+Q \mathrm{~d} y+R \mathrm{~d} z= \int_{a}^{\beta}\left[P(x(t), y(t), z(t)) x^{\prime}(t)+Q(x(t), y(t), z(t)) y^{\prime}(t)+R(x(t), y(t), z(t)) z^{\prime}(t)\right] \mathrm{d} t$（计算简单，不容易出错）
2、斯托克斯公式法：$\oint_{\Gamma} P \mathrm{~d} x+Q \mathrm{~d} y+R \mathrm{~d} z=\iint_{\Sigma}\left(\frac{\partial R}{\partial y}-\frac{\partial Q}{\partial z}\right) \mathrm{d} y \mathrm{~d} z+\left(\frac{\partial P}{\partial z}-\frac{\partial R}{\partial x}\right) \mathrm{d} z \mathrm{~d} x+\left(\frac{\partial Q}{\partial x}-\frac{\partial P}{\partial y}\right) \mathrm{d} x \mathrm{~d} y$（也可以记为$\iint_{\Sigma}\left|\begin{array}{ccc}\cos \alpha & \cos \beta & \cos \gamma \\\frac{\partial}{\partial x} & \frac{\partial}{\partial y} & \frac{\partial}{\partial z} \\P & Q & R\end{array}\right| d S=\oint_{\Gamma} P d x+Q d y+R d z$），$\Gamma$的方向与$\Sigma$的方向符合右手法则（正负符号是在曲面法线向量中确定的）
——————————————————————————
第一类曲面积分：
1、公式法：$\iint_{\Sigma} f(x, y, z) \mathrm{d} S=\iint_{D} f(x, y, z(x, y)) \sqrt{1+\left(z_{x}^{\prime}\right)^{2}+\left(z_{y}^{\prime}\right)^{2}} \mathrm{~d} x \mathrm{~d} y$
——————————————————————————
第二类曲面积分：
1、高斯公式：$\oiint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y=\iiint_{\Omega}\left(\frac{\partial P}{\partial x}+\frac{\partial Q}{\partial y}+\frac{\partial R}{\partial z}\right) \mathrm{d} V$，闭曲面$\Sigma$取外侧（一定要注意区域内是否有不连续的点<分母为0等>！！！）
4、直接法（一次性）：$\iint_{\Sigma} P(x, y, z) \mathrm{d} y \mathrm{~d} z+Q(x, y, z) \mathrm{d} z \mathrm{~d} x+R(x, y, z) \mathrm{d} x \mathrm{~d} y = \pm \iint_{D_{x y}}[P(x, y, z(x, y))\left(-\frac{\partial z}{\partial x}\right)+Q(x, y, z(x, y))\left(-\frac{\partial z}{\partial y}\right)+R(x, y, z(x, y))] \mathrm{d} x \mathrm{~d} y$，（注意曲面的方向）若有向曲面$\Sigma$的法向量与$z$轴正向夹角为锐角，即上侧，上式中取“+"" 号，否则取“-""号",高等数学公式
展开式,"1、$\frac{1}{1-x}=1+x+x^{2}+\cdots+x^{n}+\cdots, x \in(-1,1)$；
2、$\frac{1}{1+x}=1-x+x^{2}+\cdots+(-1)^{n} x^{n}+\cdots, x \in(-1,1)$；
3、$\mathrm{e}^{x}=1+x+\frac{x^{2}}{2 !}+\cdots+\frac{x^{n}}{n !}+\cdots, x \in(-\infty,+\infty)$；
4、$\sin x=x-\frac{x^{3}}{3 !}+\cdots+\frac{(-1)^{n} x^{2 n+1}}{(2 n+1) !}+\cdots, x \in(-\infty,+\infty)$；
5、$\cos x=1-\frac{x^{2}}{2 !}+\cdots+\frac{(-1)^{n} x^{2 n}}{(2 n) !}+\cdots, x \in(-\infty,+\infty)$；
6、$\ln (1+x)=x-\frac{x^{2}}{2}+\cdots+\frac{(-1)^{n-1} x^{n}}{n}+\cdots, x \in(-1,1]$；
7、$(1+x)^{\alpha}=1+\alpha x+\frac{\alpha(\alpha-1)}{2 !} x^{2}+\cdots+\frac{\alpha(\alpha-1) \cdots(\alpha-n+1)}{n !} x^{n}+\cdots, x \in(-1,1)$；",高等数学公式
过渡矩阵,"1、由$[\alpha_1,\alpha_2,\cdots,\alpha_n]$向$[\beta_1,\beta_2,\cdots,\beta_n]$过渡（列变换）：过渡方程为：$[\alpha_1,\alpha_2,\cdots,\alpha_n]C=[\beta_1,\beta_2,\cdots,\beta_n]$，其中$C$为过渡矩阵（注意：过渡的方向）
2、求解过渡矩阵：利用过渡方程转换你为求逆运算（在$[\alpha_1,\alpha_2,\cdots,\alpha_n]$为可逆矩阵的条件下），即$C=[\alpha_1,\alpha_2,\cdots,\alpha_n]^{-1}[\beta_1,\beta_2,\cdots,\beta_n]$
3、坐标的过渡矩阵：$[\alpha_1,\alpha_2,\cdots,\alpha_n]$下坐标为$[x_1,x_2,\cdots,x_n]$，$[\beta_1,\beta_2,\cdots,\beta_n]$下坐标为$[y_1,y_2,\cdots,y_n]$，$C$为过渡矩阵，则$x=Cy$（证明：1中的过度方程两边同时右乘$y$，与$[\alpha_1,\alpha_2,\cdots,\alpha_n][x_1,x_2,\cdots,x_n]^T=[\beta_1,\beta_2,\cdots,\beta_n][y_1,y_2,\cdots,y_n]^T$对比）",线性代数公式
抽样分布公式,"1、卡方：$\chi^{2} = X_1^2+X_2^2+\cdots+X_n^2 \sim \chi^{2}(n)$，$X_1,X_2,\cdots ,X_n$相互独立且服从标准正态分布
2、T分布：$t=\frac{X}{\sqrt{Y/n}} \sim t(n)$，其中$X \sim N(0,1)$，$Y\sim \chi^{2}\left(n\right)$，且$X,Y$相互独立
3、F分布：$F=\frac{U / n_{1}}{V / n_{2}} \sim F\left(n_{1}, n_{2}\right)$，其中$U \sim \chi^{2}\left(n_{1}\right)$，$ V \sim \chi^{2}\left(n_{2}\right)$，且$U,V$相互独立（delta1037）",概率论公式
边缘相关,"1、边缘概率密度：$f_{X}(x)=\int_{-\infty}^{+\infty} f(x, y) \mathrm{d} y$）；关于$Y$的边缘概率密度类似
2、边缘分布函数：$F_{X}(x)=F(x,+\infty)=\int_{-\infty}^{x}\left[\int_{-\infty}^{+\infty} f(x, y) \mathrm{d} y\right] \mathrm{d} x$）；关于$Y$的边缘分布函数类似",概率论公式
泰勒,"泰勒与级数：
1、关系：幂级数展开式$\varphi(x)=\sum_{n=0}^{\infty} a_{n}\left(x-x_{0}\right)^{n}$，泰勒级数展开$\varphi(x)=\sum_{n=0}^{\infty} \frac{1}{n !} \varphi^{(n)}\left(x_{0}\right)\left(x-x_{0}\right)^{n}$，对应关系$\varphi^{(n)}\left(x_{0}\right)=n ! a_{n}, \quad(n=0,1, \cdots)$
——————————————————————————
基本没用的：
1、拉格朗日余项泰勒展开式：$f(x, y)=f\left(x_{0}, y_{0}\right)+f_{x}^{\prime}\left(x_{0}, y_{0}\right)\left(x-x_{0}\right)+f_{y}^{\prime}\left(x_{0}, y_{0}\right)\left(y-y_{0}\right)+R_{1}$，其中余项$R_{1}=\frac{1}{2 !}\left[\frac{\partial^{2} f\left(P_{1}\right)}{\partial x^{2}}\left(x-x_{0}\right)^{2}+2 \frac{\partial^{2} f\left(P_{1}\right)}{\partial x \partial y}\left(x-x_{0}\right)\left(y-y_{0}\right)+\frac{\partial^{2} f\left(P_{1}\right)}{\partial y^{2}}\left(y-y_{0}\right)^{2}\right]$，点$P_{1}$为$\left(x_{0}+\theta\left(x-x_{0}\right), y_{0}+\theta\left(y-y_{0}\right)\right)$
2、佩亚诺型余 项的二阶泰勒公式展开式：$f(x, y)=f\left(x_{0}, y_{0}\right)+f_{x}^{\prime}\left(x_{0}, y_{0}\right)\left(x-x_{0}\right)+f_{y}^{\prime}\left(x_{0}, y_{0}\right)\left(y-y_{0}\right)+\frac{1}{2 !}[\frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial x^{2}}\left(x-x_{0}\right)^{2}+2 \frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial x \partial y}\left(x-x_{0}\right)\left(y-y_{0}\right)+\frac{\partial^{2} f\left(x_{0}, y_{0}\right)}{\partial y^{2}}\left(y-y_{0}\right)^{2}]+o\left(\rho^{2}\right)$，其中$\rho=\sqrt{\left(x-x_{0}\right)^{2}+\left(y-y_{0}\right)^{2}}$",高等数学公式
零碎公式,"1、海伦公式（求三角形面积）：$S=\sqrt{p(p-x)(p-y)(p-z)}=\frac{1}{2} y h$（其中$p$是三角形半周长）
2、$e$的不等式：$\left(1+\frac{1}{n}\right)^{n}<\mathrm{e}<\left(1+\frac{1}{n}\right)^{n+1}$（n为正整数）
3、伽马函数积分：伽马函数定义为$\Gamma(z)=\int_{0}^{\infty} t^{z-1} \mathrm{e}^{-t} \mathrm{~d} \mathrm{t}$，伽马函数的递推公式$\Gamma(z+1)=z \Gamma(z)$（成立条件为z是非负整数和非0以外的所有值），并且$\Gamma\left(\frac{1}{2}\right) =\sqrt{\pi}$；$\Gamma(1) =0 !$（对于其它的值利用递推公式递推即可）",高等数学公式
期望,"离散：
1、一维：$\sum_{k=1}^{\infty}x_kp_k$
2、一维函数：$E(Y)=E[g(X)]=\sum_{k=1}^{+\infty} g\left(x_{k}\right) p_{k}$
3、二维函数：$E(Z)=E[g(X, Y)]=\sum_{i=1}^{+\infty} \sum_{j=1}^{+\infty} g\left(x_{i}, y_{j}\right) p_{i j}$
——————————————————————————
连续：
1、一维：$E(X)=\int_{-\infty}^{+\infty} x f(x) \mathrm{d} x$
2、一维函数：$E(Y)=E[g(X)]=\int_{-\infty}^{+\infty} g(x) f(x) \mathrm{d} x$
3、二维函数：$E(Z)=E[g(X, Y)]=\int_{-\infty}^{+\infty} \int_{-\infty}^{+\infty} g(x, y) f(x, y) \mathrm{d} x \mathrm{~d} y$
——————————————————————————
矩的定义：
1、$k$阶原点矩：$E\left(X^{k}\right), \quad k=1,2, \cdots $
2、$k$阶中心距：$E\left\{[X-E(X)]^{k}\right\}, \quad k=1,2, \cdots$
3、$k+l$阶混合原点矩：$E\left(X^{k} Y^{l}\right), \quad k, l=1,2, \cdots$
4、$k+l$阶混合中心矩：$E\left\{[X-E(X)]^{k}[Y-E(Y)]^{\iota}\right\}, \quad k, l=1,2, \cdots$
——————————————————————————
性质：
1、性质1：$E(a_1X_1+a_2X_2+\cdots+a_nX_n+b_1+b_2+\cdots+b_m)=a_1E(X_1)+a_2E(X_2)+\cdots+a_nE(X_n)+b_1+b_2+\cdots+b_m$（无论变量之间是否独立都成立！这点很重要，可以在有些变量相关的条件下简化计算）
2、若$X$、$Y$不相关，则$E ( X Y ) = E ( X ) E ( Y )$（推导：$C o v ( X , Y ) = E ( X Y ) - E ( X ) E ( Y ) =0$）",概率论公式
条件概率,"1、连续：$P\{X>x|Y>y\} = \frac {P\{X>x,Y>y\}}{P\{Y>y\}}$
2、离散：$P\{X=x|Y=y\} = \frac {P\{X=x,Y=y\}}{P\{Y=y\}} = \frac {p_{ij}}{p_{\cdot j}}$
3、离散条件密度：$P\{X=x|Y=y\} = \frac {P\{X=x,Y=y\}}{P\{Y=y\}}$
4、连续条件分布定义：$F_{X \mid Y}(x \mid y)=\int_{-\infty}^{x} \frac{f(s, y)}{f_{Y}(y)} \mathrm{d} s$
5、连续条件密度定义：$f_{X \mid Y}(x \mid y)=\frac{f(x, y)}{f_{Y}(y)}, f_{Y}(y)>0$",概率论公式
方差,"定义：
1、方差定义：$D(X)=E\left\{[X-E(X)]^{2}\right\}$
1、标准差/均方差表示：$\sigma(X)=\sqrt{D(X)}$
2、推论1：$D(X)=E\left(X^{2}\right)-[E(X)]^{2}$（定义公式展开）（方差的一般求解方法）
3、推论2：$E\left(X^{2}\right) \geqslant[E(X)]^{2}$（因为对任何随机变量$X, D(X) \geqslant 0$）
——————————————————————————
性质：
1、性质1（可推广）：$D(a X+b)=a^{2} D(X) $
2、性质2（前提条件：$X,Y$相互独立/不相关）：$D(X \pm Y)=D(X)+D(Y)$
3、性质2（前提条件：$X,Y$关系未知）：$D ( X \pm Y ) = D ( X ) + D ( Y ) \pm 2 Cov ( X , Y )  $（方差展开公式）（其中协方差可以用相关系数与协方差的关系替换）",概率论公式
矩阵公式,"单个矩阵：
1、伴随核心公式：$AA^*=A^*A=|A|E$
2、逆矩阵的定义：$AA^{-1}=A^{-1}A=E$，$|A^{-1}|=|A|^{-1}$
4、伴随矩阵行列式：$|A^*|=|A|^{n-1}$
5、奇数阶反对称阵：$A=-A^T$
6、正交矩阵：$AA^T=A^TA=E$
7、初等矩阵求逆：（$E_{i}^{-1}(k)=E_{i}(\frac 1 k)$；$E_{ij}^{-1}=E_{ij}$；$E_{ij}^{-1}(k)=E_{ij}(-k)$）（倍乘：$E_{i}(k)$第$i$行乘$k$倍；互换：$E_{ij}$第$ij$行互换；倍加：$E_{ij}(k)$第$j$行的$k$倍加到第$i$行）
——————————————————————————
多个矩阵：
1、逆：$(AB)^{-1}=B^{-1} A^{-1}$，$(A+B)^{-1}\ne A^{-1} + B^{-1}$
2、转置：$(AB)^T=B^TA^T$，$(A+B)^T=A^T + B^T$
3、伴随运算：$(AB)^*=B^*A^*$，核心公式：$AA^*=A^*A=|A|E$，将$A$挪到右边可得到$A^*=|A|A^{-1}$（式子1），将$A^*$挪到右边得到$(A^*)^{-1}=\frac{A}{|A|}$，再由可交换运算可以得到$(A^{-1})^*=\frac{A}{|A|}$（也可以令$B=A^{-1}$代入到式子1或者代入到伴随核心公式中推导）；伴随矩阵的行列式：$|A^*|=|A|^{n-1}$
4、伴随矩阵乘系数的运算：$(kA)^*=k^{n-1}A^*$（推导：依据伴随定义）
5、可交换运算：$""*"",""-1"",""T""$是可交换的（仅限于指数运算中），并且对运算$(AB)^x=B^xA^x$将这三种符号代入到$x$均成立；相同的$T$运算合并成1次方运算，相同的$-1$运算合并成$-2$次方运算；相同的*符号可以由$(A^*)^{*}=|A|^{n-2}A$转换成数值与原矩阵的积",线性代数公式
