题目,思路,章节
偏导数与全微分,"1、偏导数： $f_{x}^{\prime}\left(x_{0}, y_{0}\right)=\lim_{\Delta x \rightarrow 0} \frac{f\left(x{0}+\Delta x, y_{0}\right)-f\left(x_{0}, y_{0}\right)}{\Delta x}$，；类似地可定义$f_{y}^{\prime}\left(x_{0}, y_{0}\right)=\lim_{\Delta y \rightarrow 0} \frac{f\left(x{0}, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)}{\Delta y}$（从几何上看就是曲面与$x=x_0,y=y_0$平面的交线在交线方向上的导数）
2、全微分：$\Delta z=f(x+\Delta x, y+\Delta y)-f(x, y)=A \Delta x+B \Delta y+o(\rho)$，$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$，微分记为$\mathrm{d} z=A \Delta x+B \Delta y$
3、微分表示：$\mathrm{d} z=\frac{\partial z}{\partial x} \mathrm{~d} x+\frac{\partial z}{\partial y} \mathrm{~d} y$（求解微分）（偏导数与微分关系）
4、可微定义式：$\lim_{\Delta x \rightarrow 0,\Delta y \rightarrow 0}\frac{\left[f\left(x_{0}+\Delta x, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)\right]-\left[f_{x}^{\prime}\left(x_{0}, y_{0}\right) \Delta x+f_{y}^{\prime}\left(x_{0}, y_{0}\right) \Delta y\right]}{\rho}=0$，其中$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$
5、可微定义式（偏导为0的特殊情况）：$\lim_{\Delta x \rightarrow 0,\Delta y \rightarrow 0}\frac{f\left(x_{0}+\Delta x, y_{0}+\Delta y\right)-f\left(x_{0}, y_{0}\right)}{\rho}=0$，其中$\rho=\sqrt{(\Delta x)^{2}+(\Delta y)^{2}}$",高等数学公式
估计公式,"单样本构造：
0、前提：设总体$X \sim N\left(\mu, \sigma^{2}\right), X_{1}, X_{2},\cdots, X_{n}$是来自$X$的样本，样本均值$\bar{X}=\frac{1}{n} \sum_{i=1}^{n} X_{i}$, 样本方差$S^{2}=\frac{1}{n-1} \sum_{i=1}^{n}\left(X_{i}-\bar{X}\right)^{2}$
1、（单）样本均值分布：$\bar{X} \sim N\left(\mu, \frac{\sigma^{2}}{n}\right)$，标准化$U=\frac{\bar{X}-\mu}{\sigma / \sqrt{n}} \sim N(0,1)$
2、（单）样本方差构造卡方分布：$\chi^{2}=\frac{(n-1) S^{2}}{\sigma^{2}} \sim \chi^{2}(n-1)$
3、（单）均值和样本方差构造$T$分布：$T=\frac{\bar{X}-\mu}{S / \sqrt{n}} \sim t(n-1)$
4、（单）中心距分布：$\chi^{2}=\frac{1}{\sigma^{2}} \sum_{i=1}^{n}\left(X_{i}-\mu\right)^{2} \sim \chi^{2}(n)$
——————————————————————————
双样本构造：
0、前提：$X_{1}, X_{2}, \cdots, X_{n_{1}}$与$Y_{1}, Y_{2}, \cdots,Y_{n_{2}}$分别是来自正态总体$N\left(\mu_{1}, \sigma_{1}^{2}\right)$和$N\left(\mu_{2}, \sigma_{2}^{2}\right)$的样本,且这两个样本相互独立. 设$\bar{X}=\frac{1}{n_{1}} \sum_{i=1}^{n_{1}} X_{i}$，$\bar{Y}=\frac{1}{n_{2}} \sum_{i=1}^{n_{2}} Y_{i}$分别是这两个样本的样本均值; $S_{1}^{2}=\frac{1}{n_{1}-1} \sum_{i=1}^{n_{1}}\left(X_{i}-\bar{X}\right)^{2}$, $S_{2}^{2}=\frac{1}{n_{2}-1} \sum_{i=1}^{n_{2}}\left(Y_{i}-\bar{Y}\right)^{2}$分别是这两个样本的样本方差
1、（双）均值差构造正态分布：$\bar{X}-\bar{Y} \sim N\left(\mu_{1}-\mu_{2}, \frac{\sigma_{1}^{2}}{n_{1}}+\frac{\sigma_{2}^{2}}{n_{2}}\right)$
2、（双）均值和样本方差构造$T$分布：$\frac{(\bar{X}-\bar{Y})-\left(\mu_{1}-\mu_{2}\right)}{S_{w} \sqrt{\frac{1}{n_{1}}+\frac{1}{n_{2}}}} \sim t\left(n_{1}+n_{2}-2\right)$，$S_{w}^{2}=\frac{\left(n_{1}-1\right) S_{1}^{2}+\left(n_{2}-1\right) S_{2}^{2}}{n_{1}+n_{2}-2}, \quad S_{w}=\sqrt{S_{w}^{2}}$
3、（双）样本方差构造$F$分布：$\frac{S_{1}^{2} / S_{2}^{2}}{\sigma_{1}^{2} / \sigma_{2}^{2}} \sim F\left(n_{1}-1, n_{2}-1\right)$",概率论公式
积分应用,"1、平面图形的面积：极坐标系下方程$r=r(\theta)$，在两射线$\theta=\alpha$与$\theta=\beta(0<\beta-\alpha \leqslant 2 \pi)$之间面积为$A=\frac{1}{2} \int_{a}^{\beta} r^{2}(\theta) \mathrm{d} \theta$
2、平面曲线的弧长：参数坐标系下的弧长为$s=\int_{a}^{\beta} \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)} \mathrm{d} t$；直角坐标系下的弧长为$s=\int_{a}^{b} \sqrt{1+y^{\prime 2}(x)} \mathrm{d} x$（弧长上一小段微元的长度为$\sqrt{1+y^{\prime 2}(x)} \mathrm{d} x$）；极坐标系下的弧长为$s=\int_{a}^{\beta} \sqrt{r^{2}(\theta)+r^{\prime 2}(\theta)} \mathrm{d} \theta$（注意：弧长的计算有时需要用到弧线的对称性，否则计算结果为0）
3、旋转体的体积：曲线$y=y(x)$与$x=a, x=b, x$轴围成的曲边梯形绕$x$轴旋转一周所围成的体积为$V=\pi \int_{a}^{b} y^{2}(x) \mathrm{d} x, a<b$（圆面的微元，圆面积乘厚度微元）；曲线$y=y_{2}(x), y=y_{1}(x), x=a, x=b\left(y_{2}(x) \geqslant y_{1}(x) \geqslant 0\right)$绕$x$轴旋转围成的旋转体体积为$V=\pi \int_{a}^{b}\left[y_{2}^{2}(x)-y_{1}^{2}(x)\right] \mathrm{d} x, a<b$（两圆相减的面的微元，两圆面相减的面积乘厚度微元）；曲线$y=y_{2}(x), y=y_{1}(x), x=a, x=b\left(b>a \geqslant 0, y_{2}(x) \geqslant y_{1}(x)\right)$绕$y$轴旋转所成的旋转体体积为$V=2 \pi \int_{a}^{b} x\left(y_{2}(x)-y_{1}(x)\right) \mathrm{d} x$（圆筒状的微元，周长乘高乘厚度微元）
4、旋转曲面面积：在直角坐标系上曲线$y=y(x)$绕$x$轴旋转，所形成的曲面面积为$S=2 \pi \int_{a}^{b}|y| \sqrt{1+f^{\prime 2}(x)} \mathrm{d} x, a<b$（圆周与倾斜度的微元，对曲面纵向切分，先求解圆环（注意圆环是带斜率的，所以圆环宽度微元为$\sqrt{1+f^{\prime 2}(x)} \mathrm{d} x$），圆周乘圆环宽度微元）；在参数坐标系下有$S=2 \pi \int_{a}^{\beta}|y(t)| \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)} \mathrm{d} t$
5、在区间上平行截面面积为已知$A(x)$的立体体积：$V=\int_{a}^{b} A(x) \mathrm{d} x, a<b$
6、函数的平均值：$\bar{f}=\frac{1}{b-a} \int_{a}^{b} f(x) \mathrm{d} x$
7、质心：平面：$\bar{x}=\frac{\iint_{D} x \rho(x, y) \mathrm{d} x \mathrm{~d} y}{\iint_{D} \rho(x, y) \mathrm{d} x \mathrm{~d} y}$；空间体：$\bar{x}=\frac{\iiint_{\Omega} x \rho(x, y, z) \mathrm{d} v}{\iiint_{\Omega} \rho(x, y, z) \mathrm{d} v}$；曲线：$\bar{x}=\frac{\int_{C} x \rho(x, y, z) \mathrm{d} s}{\int_{C} \rho(x, y, z) \mathrm{d} s}$；曲面：$\bar{x}=\frac{\iint_{\Sigma} x \rho(x, y, z) \mathrm{d} S}{\iint_{\Sigma} \rho(x, y, z) \mathrm{d} S}$（几何体上质量点的矩与质心矩的关系）
8、转动惯量：平面：$I_{x}=\iint_{D} y^{2} \rho(x, y) \mathrm{d} \sigma$；空间体：$I_{x}=\iiint_{\Omega}\left(y^{2}+z^{2}\right) \cdot \rho(x, y, z) \mathrm{d} v$；曲线：$I_{x}=\int_{C}\left(y^{2}+z^{2}\right) \cdot \rho(x, y, z) \mathrm{d} s$；曲面：$I_{x}=\iint_{\Sigma}\left(y^{2}+z^{2}\right) \cdot \rho(x, y, z) \mathrm{d} S$（注意对应轴的转动惯量的转动轴）
9、质量：平面：$m=\iint_{D} \rho(x, y) \mathrm{d} x \mathrm{~d} y$；空间体：$m=\iiint_{\Omega} \rho(x, y, z) \mathrm{d} v$；曲线：$m=\int_{C} \rho(x, y, z) \mathrm{d} s$；曲面：$m=\iint_{\Sigma} \rho(x, y, z) \mathrm{d} S$
10、几何度量：平面面积：$S=\iint_{D} \mathrm{~d} x \mathrm{~d} y$；空间体体积：$V=\iiint_{\Omega} \mathrm{d} v$；曲弧长线：$L=\int_{C} \mathrm{~d} s$；曲面面积：$S=\iint_{\Sigma} \mathrm{d} S$
11、变力做功：设有力场$\boldsymbol{F}(x, y, z)=P \boldsymbol{i}+Q \boldsymbol{j}+R \boldsymbol{k}$，则力$F$沿曲线$\widehat{A B}$从$A$到$B$所做的功为$W=\int_{\widehat{A B}} P \mathrm{~d} x+Q \mathrm{~d} y+R \mathrm{~d} z$（做功的求解在于将力场进行分解，对每一个方向的功分开计算）
12、通量：设有向量场$\boldsymbol{A}(x, y, z)=P(x, y, z) \boldsymbol{i}+Q(x, y, z) \boldsymbol{j}+R(x, y, z) \boldsymbol{k}, S$为有向曲面且$\mathrm{d} \boldsymbol{S}=\mathrm{d} y \mathrm{~d} x \boldsymbol{i}+\mathrm{d} z \mathrm{~d} x \boldsymbol{j}+\mathrm{d} x \mathrm{~d} y \boldsymbol{k}$, 则向量场$\boldsymbol{A}(x, y, z)$穿过曲面$S$的指定侧的通量为$\Phi=\iint_{\Sigma} P \mathrm{~d} y \mathrm{~d} z+Q \mathrm{~d} z \mathrm{~d} x+R \mathrm{~d} x \mathrm{~d} y$（可理解为向量场在各个方向上的分量，在该方向上曲面的投影面积的积分）
13、液体压强公式：一点的压强为$p=\rho gh$",高等数学公式
积分公式,"基本积分公式：
1、$\int a^{x} \mathrm{~d} x=\frac{a^{x}}{\ln a}+C(a>0, a \neq 1)$
2、$\int \tan x \mathrm{~d} x=-\ln |\cos x|+C$
3、$\int \cot x \mathrm{~d} x=\ln |\sin x|+C$
4、$\int \csc x \mathrm{~d} x=\ln |\csc x-\cot x|+C$
5、$\int \sec x \mathrm{~d} x=\ln |\sec x+\tan x|+C$
6、$\int \sec ^{2} x \mathrm{~d} x=\tan x+C$
7、$\int \csc ^{2} x \mathrm{~d} x=-\cot x+C$
8、$\int \frac{1}{a^{2}+x^{2}} \mathrm{~d} x=\frac{1}{a} \arctan \frac{x}{a}+C$
9、$\int \frac{1}{a^{2}-x^{2}} \mathrm{~d} x=\frac{1}{2 a} \ln \mid \frac{a+x}{a-x} \mid+C$
10、$\int \frac{1}{\sqrt{a^{2}-x^{2}}} \mathrm{~d} x=\arcsin \frac{x}{a}+C$
11、$\int \frac{\mathrm{d} x}{\sqrt{x^{2} \pm a^{2}}}=\ln \mid x+\sqrt{x^{2} \pm a^{2}} \mid+ C$
——————————————————————————
常见的换元法：
1、$\int R\left(x, \sqrt{a^{2}-x^{2}}\right) \mathrm{d} x, \int R\left(x, \sqrt{x^{2} \pm a^{2}}\right) \mathrm{d} x \text { 型, } a>0$（根号型的处理，或者相似的，根号中配成平方之后的）
1.1、$\sqrt{a^{2}-x^{2}}$型，令$x=a \sin t, \mathrm{~d} x=a \cos t \mathrm{~d} t$
1.2、$\sqrt{x^{2}+a^{2}}$型，令$x=a \tan t, \mathrm{~d} x=a \sec ^{2} t \mathrm{~d} t$
1.3、$\sqrt{x^{2}-a^{2}}$型，令$x=a \sec t, \mathrm{~d} x=a \sec t \tan t \mathrm{~d} t$
2、$\int R(x, \sqrt[n]{a x+b}, \sqrt[m]{a x+b}) \mathrm{d} x$型，令$\sqrt[n n]{a x+b}=t, x=\frac{t^{m n}-b}{a}, \mathrm{~d} x=\frac{m n}{a} t^{m n-1} \mathrm{~d} t$（分数幂，无分数）
3、$\int R\left(x, \sqrt{\frac{a x+b}{c x+d}}\right) \mathrm{d} x$型，令$\sqrt{\frac{a x+b}{c x+d}}=t, x=\frac{d t^{2}-b}{a-c t^{2}}, \mathrm{~d} x=\frac{2(a d-b c) t}{\left(a-c t^{2}\right)^{2}} \mathrm{~d} t .$其中设$a d-b c \neq 0$（分数幂，有分数）
4、$\int R(\sin x, \cos x) \mathrm{d} x$型，令$\tan({\frac{x}{2}})=t$，则$\sin x=\frac{2 t}{1+t^{2}}, \cos x=\frac{1}{1+t^{2}}, \mathrm{~d} x=\frac{2}{1+t^{2}} \mathrm{~d} t$（万能代换）
——————————————————————————
其它定积分公式：
1、周期函数的积分：$\int_{a}^{a+T} f(x) \mathrm{d} x=\int_{0}^{T} f(x) \mathrm{d} x$
2、华里士公式：$\int_{0}^{\frac{\pi}{2}} \sin ^{n} x \mathrm{~d} x=\int_{0}^{\frac{\pi}{2}} \cos ^{n} x \mathrm{~d} x=\left\{\begin{array}{l}\frac{n-1}{n} \cdot \frac{n-3}{n-2} \cdots \cdots \frac{1}{2} \cdot \frac{\pi}{2}, \quad \text { 当 } n \text { 为正偶数 } \\\frac{n-1}{n} \cdot \frac{n-3}{n-2} \cdots \cdots \cdot \frac{2}{3} \cdot 1, \quad \text { 当 } n \text { 为大于 } 1 \text { 的正奇数 }\end{array}\right.$
——————————————————————————
分部积分：（不定积分和定积分）（重点）
1、不定积分：$\int u(x) v^{\prime}(x) \mathrm{d} x=u(x) v(x)-\int v(x) u^{\prime}(x) \mathrm{d} x$或者$\int u(x) \mathrm{d} v(x)=u(x) v(x)-\int v(x) \mathrm{d} u(x)$
2、定积分：$\int_{a}^{b} u(x) v^{\prime}(x) \mathrm{d} x=\left.u(x) v(x)\right|_{a} ^{b}-\int_{a}^{b} v(x) u^{\prime}(x) \mathrm{d} x$或者$\int_{a}^{b} u(x) \mathrm{d} v(x)=\left.u(x) v(x)\right|_{a} ^{b}-\int_{a}^{b} v(x) \mathrm{d} u(x)$
——————————————————————————
用分部积分法的题型：
1、幂与指数，三角函数相乘的：$\int x^{n} \mathrm{e}^{x} \mathrm{~d} x=\int x^{n} \mathrm{~d} \mathrm{e}^{x}$，$\int x^{n} \sin x \mathrm{~d} x=-\int x^{n} \mathrm{~d} \cos x$，$\int x^{n} \cos x \mathrm{~d} x=\int x^{n} \mathrm{~d} \sin x$
2、幂与对数、反三角函数相乘的：$\int x^{n} \ln x \mathrm{~d} x=\frac{1}{n+1} \int \ln x \mathrm{~d} x^{n+1}$，$\int x^{n} \arctan x \mathrm{~d} x=\frac{1}{n+1} \int \arctan x \mathrm{~d} x^{n+1}$，$\int x^{n} \arcsin x \mathrm{~d} x=\frac{1}{n+1} \int \arcsin x \mathrm{~d} x^{n+1}$
3、连用两次的（指数与三角相乘）：$\int \mathrm{e}^{x} \sin x \mathrm{~d} x$，$\int \mathrm{e}^{x} \cos x \mathrm{~d} x$",高等数学公式
空间特征,"1、曲线$\Gamma$表示为$\left\{\begin{array}{l}x=x(t), \\ y=y(t),  \\ z=z(t),\end{array}\right.$的切向量：$\tau=\left\{x^{\prime}\left(t_{0}\right), y^{\prime}\left(t_{0}\right), z^{\prime}\left(t_{0}\right)\right\}$
2、曲线$\Gamma$表示为$\left\{\begin{array}{l}F(x, y, z)=0,\\ G(x, y, z)=0,\end{array}\right.$的切向量： $\tau=\boldsymbol{n}_{1} \times \boldsymbol{n}_{2}$，其中$\newline\begin{aligned} &\boldsymbol{n}_{1}=\left\{F{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\} \\ &\boldsymbol{n}_{2}=\left\{G_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), G_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), G_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\} \end{aligned}$
3、曲面$F(x, y, z)=0$法向量：$\boldsymbol{n}=\left\{F_{x}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{y}^{\prime}\left(x_{0}, y_{0}, z_{0}\right), F_{z}^{\prime}\left(x_{0}, y_{0}, z_{0}\right)\right\}$
4、曲面$z=f(x, y)$法向量：$\boldsymbol{n}=\left\{f_{x}^{\prime}\left(x_{0}, y_{0}\right),f_{y}^{\prime}\left(x_{0}, y_{0}\right),-1\right\}$",高等数学公式
特征值,"1、矩阵变换后的特征值：$\begin{array}{c|c|c|c|c|c|c}\hline \text { 矩阵 } & \boldsymbol{A} & k \boldsymbol{A}+\boldsymbol{E} & \boldsymbol{A}+k \boldsymbol{E} & \boldsymbol{A}^{n} & \boldsymbol{A}^{-1}(\boldsymbol{A} \text { 可逆 }) & \boldsymbol{A}^{*}(\boldsymbol{A} \text { 可逆 }) \\\hline \text { 特征值 } & \lambda & k \lambda+1 & \lambda+k & \lambda^{n} & \frac{1}{\lambda} & \frac{|\boldsymbol{A}|}{\lambda} \\\hline\end{array}$
2、特征方程：$|\lambda E-A|$
3、",线性代数公式
中心极限定理,"（变量自解释，不赘述）（注意公式需要变量独立性，一般用这种公式题目自然会给定）
1、棣莫弗一拉普拉斯定理：$\lim _{n \rightarrow \infty} P\left\{\frac{X_{n}-n p}{\sqrt{n p(1-p)}} \leqslant x\right\}=\int_{-\infty}^{x} \frac{1}{\sqrt{2 \pi}} \mathrm{e}^{-\frac{t^{2}}{2}} \mathrm{~d} t=\Phi(x)$（二项分布）
2、列维一林德伯格定理：$\lim_{n \rightarrow \infty} F_{n}(x)=\lim_{n \rightarrow \infty} P\left\{\frac{\sum_{k=1}^{n} X_{k}-n \mu}{\sqrt{n} \sigma} \leqslant x\right\}=\int_{-\infty}^{x} \frac{1}{\sqrt{2 \pi}} \mathrm{e}^{-\frac{t^{2}}{2}} \mathrm{~d} t=\Phi(x)$（独立同分布）",概率论公式
导数恒等式变换（构造）,"1、$\xi f^{\prime}(\xi)+f(\xi)=0$：$[x f(x)]^{\prime}=x f^{\prime}(x)+f(x)$
2、$\xi f^{\prime}(\xi)+n f(\xi)=0$：$\left[x^{n} f(x)\right]^{\prime}=x^{n-1}\left[x f^{\prime}(x)+n f(x)\right]$
3、$\xi f^{\prime}(\xi)-f(\xi)=0$：$\left[\frac{f(x)}{x}\right]^{\prime}=\frac{x f^{\prime}(x)-f(x)}{x^{2}}$
4、$\xi f^{\prime}(\xi)-n f(\xi)=0$：$\left[\frac{f(x)}{x^{n}}\right]^{\prime}=\frac{x f^{\prime}(x)-n f(x)}{x^{n+1}}$
5、$f^{\prime}(\xi)+\lambda f(\xi)=0$：$\left[\mathrm{e}^{\lambda x} f(x)\right]^{\prime}=\mathrm{e}^{\lambda x}\left[f^{\prime}(x)+\lambda f(x)\right]$
6、$f^{\prime}(\xi)-\lambda f(\xi)=0$：$\left[\mathrm{e}^{-\lambda x} f(x)\right]^{\prime}=\mathrm{e}^{-\lambda x}\left[f^{\prime}(x)-\lambda f(x)\right]$
7、$f(\xi) f^{\prime \prime}(\xi)+\left[f^{\prime}(\xi)\right]^{2}=0$：$\left[f(x) f^{\prime}(x)\right]^{\prime}=f(x) f^{\prime \prime}(x)+\left[f^{\prime}(x)\right]^{2}$",高等数学公式
隐函数的偏导数,"1、一个方程（一元函数）：$F(x, y)=0$$\frac{\mathrm{d} y}{\mathrm{~d} x}=-\frac{F_{x}^{\prime}}{F_{y}^{\prime}}$
2、一个方程（二元函数）：$F(x, y, z)=0$，$\frac{\partial z}{\partial x}=-\frac{F_{x}^{\prime}}{F_{z}^{\prime}}, \quad \frac{\partial z}{\partial y}=-\frac{F_{y}^{\prime}}{F_{z}^{\prime}}$
3、方程组（一元函数）：方程组$\left\{\begin{array}{l}F(x, u, v)=0,  \\ G(x, u, v)=0\end{array}\right. $，对x求偏导，$\left\{\begin{array}{l} F_{x}^{\prime}+F_{u}^{\prime} \frac{\mathrm{d} u}{\mathrm{~d} x}+F_{v}^{\prime} \frac{\mathrm{d} v}{\mathrm{~d} x}=0 \\ G_{x}^{\prime}+G_{u}^{\prime} \frac{\mathrm{d} u}{\mathrm{~d} x}+G_{v}^{\prime} \frac{\mathrm{d} v}{\mathrm{~d} x}=0 \end{array}\right.$（$u=u(x), v=v(x)$）
3、方程组（二元函数）：方程组$\left\{\begin{array}{l}F(x, y, u, v)=0, \\ G(x, y, u, v)=0\end{array}\right.$，对$x$求偏导得到, 即$\left\{\begin{array}{l} F_{x}^{\prime}+F_{u}^{\prime} \frac{\partial u}{\partial x}+F_{v}^{\prime} \frac{\partial v}{\partial x}=0 \\ G_{x}^{\prime}+G_{u}^{\prime} \frac{\partial u}{\partial x}+G_{v}^{\prime} \frac{\partial v}{\partial x}=0 \end{array}\right.$，然后从中解出$\frac{\partial u}{\partial x}$和$\frac{\partial v}{\partial x}$；同理可求得$\frac{\partial u}{\partial y}$和$\frac{\partial v}{\partial y}$",高等数学公式
二维分布,"二维均匀分布：
1、公式：$f(x, y)=\left\{\begin{array}{lc}
\frac{1}{A}, & (x, y) \in G, \\
0, & \text { 其他 },
\end{array}\right.$其中A是平面有界区域$G$的面积，则称$(X,Y)$服从区域$G$上的均匀分布
——————————————————————————
二维正态分布：
公式：$f(x, y)=\frac{1}{2 \pi \sigma_{1} \sigma_{2} \sqrt{1-\rho^{2}}} \exp \left\{-\frac{1}{2\left(1-\rho^{2}\right)}\left[\frac{\left(x-\mu_{1}\right)^{2}}{\sigma_{1}^{2}}-\frac{2 \rho\left(x-\mu_{1}\right)\left(y-\mu_{2}\right)}{\sigma_{1} \sigma_{2}}+\frac{\left(y-\mu_{2}\right)^{2}}{\sigma_{2}^{2}}\right]\right\},-\infty<x<+\infty,-\infty<y<+\infty$，其中$\mu_{1}, \mu_{2}, \sigma_{1}>0, \sigma_{2}>0,-1<\rho<1$ 均为常数, 则称 $(X, Y) $服从参数为$\mu_{1}, \mu_{2}, \sigma_{1}, \sigma_{2}$和$\rho$的二维正态分布,记作$(X, Y) \sim N\left(\mu_{1}, \mu_{2} ; \sigma_{1}^{2}, \sigma_{2}^{2} ; \rho\right)$
——————————————————————————
二维正态分布性质：
1、$\left(X, Y\right) \sim N\left(\mu_{1}, \mu_{2} ; \sigma_{1}^{2}, \sigma_{2}^{2} ; \rho\right)$时, $X$与$Y$均服从一维正态：$X \sim{N}\left(\mu_{1}, \sigma_{1}^{2}\right), Y \sim N\left(\mu_{2}, \sigma_{2}^{2}\right)$
2、$(X, Y) \sim N\left(\mu_{1}, \mu_{2} ; \sigma_{1}^{2}, \sigma_{2}^{2} ; \rho\right)$时, $X$与$Y$相互独立的充分必要条件是$\rho=0$（正态的独立与不相关是一致的）
3、$(X, Y)$服从二维正态时,行列式$\left|\begin{array}{ll}a & b \\ c & d\end{array}\right| \neq 0$时$(a X+b Y, c X+d Y)$也服从二维正态（二维正态的满足特定条件（即两个新变量没有常数倍关系，如果有会发生什么）的组合还是二维正态）； $ a X+b Y$服从一维正态$\left(a^{2}+b^{2} \neq 0\right)$（这是由性质1得出的，需要相互独立条件）
4、约定: 当$X$与$Y$均服从一维正态，且相互独立，就是指$(X, Y)$服从二维正态
5、如果$X$与$Y$均服从一维正态, 不能保证$(X, Y)$服从二维正态, 也不能保证$a X+b Y$服从一维正态（两个一维正态推不出来组合是一维的，也不能保证能组合出来二维的（需要相互独立的条件））",概率论公式
坐标代换,"柱坐标：
1、柱坐标变换：$\begin{cases} x=r \cos \theta, & 0 \leqslant r < +\infty \\ y=r \sin \theta,& 0 \leqslant \theta \leqslant 2 \pi \\ z=z, &  -\infty<z<+\infty \\ \end{cases}$
2、柱坐标微元：$\mathrm{d} V=r \mathrm{drd} \theta \mathrm{d} z$
3、柱坐标积分：$\iiint_{\Omega} f(x, y, z) \mathrm{d} V=\iiint_{\Omega}(r \cos \theta, r \sin \theta, z) r \mathrm{drd} \theta \mathrm{d} z$
4、柱坐标适用范围：应用于柱、锥或柱锥组合等类型区域（被积分函数的形式是否有利于柱坐标计算$f(x, y, z)=\varphi(z) g\left(x^{2}+y^{2}\right)$）
——————————————————————————
球坐标：
1、球坐标变换：$\begin{cases}x=r \sin \varphi \cos \theta, & 0 \leqslant r<+\infty \\ y=r \sin \varphi \sin \theta, & 0 \leqslant \varphi \leqslant \pi \\ z=r \cos \varphi, & 0 \leqslant \theta \leqslant 2 \pi\end{cases}$
2、球坐标微元：$\mathrm{d} V=r^{2} \sin \varphi \mathrm{drd} \varphi \mathrm{d} \theta$
3、球坐标积分：$\iiint_{\Omega} f(x, y, z) \mathrm{d} V=\iiint_{\Omega} f(r \sin \varphi \cos \theta, r \sin \varphi \sin \theta, r \cos \varphi) r^{2} \sin \varphi \mathrm{drd} \varphi \mathrm{d} \theta$",高等数学公式
