题目,求解思路,类型,关联章节
希尔伯特变换,"0、希尔伯特变换：研究系统函数的约束特性，对于因果性的系统，系统函数的实部和虚部或者模与辐角之间具有某种制约的特性（即实部$R(w)$被已知的虚部$X(w)$惟一地确定，反过来也一样），这种特性以希尔伯特变换的形式体现（希尔伯特变换对：$R(\omega)=\frac{1}{\pi} \int_{-\infty}^{\infty} \frac{X(\lambda)}{\omega-\lambda} \mathrm{d} \lambda,X(\omega)=-\frac{1}{\pi} \int_{-\infty}^{\infty} \frac{R(\lambda)}{\omega-\lambda} \mathrm{d} \lambda$）（希尔伯特推导核心公式：$\mathscr{F}[h(t)]=\frac{1}{2 \pi}\{\mathscr{F}[h(t)] * \mathscr{F}[u(t)]\}$得到$R(\omega)+\mathrm{j} X(\omega)=\frac{1}{2 \pi}\left\{[R(\omega)+\mathrm{j} X(\omega)] *\left[\pi \delta(\omega)+\frac{1}{\mathrm{j} \omega}\right]\right\}$，实虚对应相等即可推导）
1、积分和卷积形式：$\int_{-\infty}^{\infty}\frac{x(\tau)}{\pi (t-\tau)}d\tau = x(t) * \frac{1}{\pi t}$
2、频域的表示：对于时域的$\frac{1}{\pi t}$，由$u(t)$的傅里叶变换为$\frac{1}{j \omega}+\pi \delta(\omega)$，得到$2u(t)-1 \leftrightarrow \frac{2}{j \omega}$，由傅里叶变换的对偶性，$\frac{1}{j t} \leftrightarrow \pi[2u(-\omega)-1 ]$，所以$\frac{1}{\pi t} \leftrightarrow j[2u(-\omega)-1 ]$（即正频域部分$X(jw)$系数为$-j$，负频域部分$X(jw)$系数为$j$，模在整个范围上都是1）",思路,连续傅里叶变换
实因果LTI系统，频域实部或虚部表征该系统,"已知频率响应实部：
1、对实信号：频率响应实部的傅里叶逆变换为时域信号的偶部（实信号可以分解成奇部和偶部两部分，偶部对应频率响应的实数，奇数部分对应频率响应的虚部）
2、对因果性：时域的负半轴的信号为0，可以由时域的偶部恢复出来非负半轴的所有信号，即整体的时域信号
3、时域信号求解傅里叶变换即为整体的频率响应
——————————————————————————
已知频率响应虚部（条件：连续信号0点不包含奇异函数；离散信号必须给出时域0点的值）
1、对实信号：频率响应虚部的傅里叶逆变换为时域信号的奇部（不要忘记虚部还得乘上$j$，这样的逆变换才是时域的奇部）（实信号可以分解成奇部和偶部两部分，偶部对应频率响应的实数，奇数部分对应频率响应的虚部）
2、对因果性：负半轴的信号为0，可以由时域的奇部恢复出来正半轴的信号（连续的除0点以外的的时域信号；离散的0点值需要给定）（对于0处的信号，连续和离散都只能由题目给定）
3、时域信号求解傅里叶变换即为整体的频率响应（对于连续信号， 单独的一个0点的缺失不影响积分的值，在0点不为奇异函数的条件下；对于离散信号，0点的值由题目给定的值来计算）
注意：区分连续与离散的情况
注意：由频率响应虚部恢复时0点信号的处理
——————————————————————————
注意：前提条件，实因果LTI",中等,"离散傅里叶变换, 连续傅里叶变换"
奈奎斯特频率,"时域信号的采样频率：（指定频率采样时样本点可以唯一确定）
1、一般信号：可以直接看出最大频率（对于加减的三角信号，其余的不赞成用这种，易出错），从而根据采样定理求得采样频率
2、复杂的信号：将时域信号转换为频域信号（参见连续信号的傅里叶变换），由频域的频率范围确定奈奎斯特频率和何时不会发生混叠
3、特性：如果频域是对称的，则指定的采样频率是边界频率的两倍
注意：奈奎斯特频率是针对带限信号来说的，非带限信号无论怎么采样都会混叠
注意：如果频域不是对称的，注意绘图进行辅助理解（不对称的频域，如果采样频率不是最大边界频率的两倍，可能不会混叠；严格来说采样频率应该大于最大频率和最小频率差值的绝对值）
注意：如果频域是离散的点，则采样频率应该大于（不包括等于，可以画图辅助理解）边界频率的两倍（对称情况下，非对称情况下绘图辅助理解）
——————————————————————————
判断信号能否依据采样定理恢复：
1、注意运用傅里叶变换的性质：
1.1、共轭对称性质：时域的实信号，偶数部分对应到频域有实偶特性，奇数部分对应到频域有虚奇特性，则如果当实信号的频域大于某一个值时为0，则小于某一个值时也为0
2、注意频率的判定是正负均有的
——————————————————————————
注意：对于信号频率看清是单边还是双边的，对于频率范围的表示有没有加绝对值
注意：采样频率应该加单位，$Hz$或者$rad/s$",中等,采样
实际采样与恢复,"采样：（针对连续信号进行采样）
0、保持采样原因：实际系统产生和传输窄而幅度大的脉冲（近似于冲激）都相当困难
1、零阶保持采样：在一个给定的瞬时对信号采样并保持这一个样本值，直到下一个点被采到为止
2、一阶保持采样：将时域上各个采样点使用直线相连即可
——————————————————————————
恢复：（内插）（针对冲激序列恢复信号）
1、零阶保持恢复：在时域上表现为一个冲击位置向$x$轴正方向作平行于$x$轴的线，直到下一次冲激位置，所构成的大致的图形
2、一阶保持恢复：在时域上表现为两个相邻的冲击位置连线，所构成的大致的图形",中等,采样
采样与恢复计算,"采样信号频谱：
1、计算采样信号的频域（采样信号一般为周期的冲击函数和；也有可能是方波信号，即非理想的采样）
2、计算待采样信号的频域（待采样信号的频域一般为有限长的）
3、计算采样信号与待采样信号的频域卷积（将有限信号频域以采样信号冲击的周期平移得到直观的采样后的信号），注意不要忘记参数$\frac 1{2\pi}$（采样为时域相乘，频域卷积，看到频域卷积就有$\frac 1{2\pi}$系数）
注意：注意卷积后$k$的取值，如果$k$不能取0，则原信号的位置是空的（即$a_0=0$时，或者说一个周期内的信号为奇信号）
——————————————————————————
采样后信号特征：（序列及其周期、傅里叶级数等特征）
1、求解序列：采样后的序列与采样前的连续函数的关系：$x[n]=x_c(nT)$
2、求解序列周期：已知输入信号是周期的，并且频域可以表示为有限的冲激序列（输入信号能够表示成傅里叶级数形式）， 将$x[n]$的连续冲激的傅里叶级数（由$x[n]=x_c(nT)$表示式，从连续信号的傅里叶级数推导至$x[n]$的傅里叶级数表示）与离散傅里叶级数标准形式（对照式）对比，得到$N$<序列周期>与$w_0$<原信号频率>与$T$<采样周期>的关系（原信号频率是$w_0$，经过采样并归一化之后，频率变为$w_0T$，与$\frac{2\pi}{N}$对比（具有相等关系）得到$N$）<小蓝书 P200>
3、当$x[n]$的傅里叶级数表示式的项数大于序列周期N时，说明是有一部分是重叠的（说明采样的频率太小了，导致采样后的信号重叠了），在表示傅里叶级数系数时要把这部分进行合并<小蓝书 P200>
——————————————————————————
恢复原信号设计：
1、搬移：使用$cosw_0t$对没有处于中心的图像搬移到中心（搬移到中心之后注意信号进行了叠加，幅度变为了原来的两倍）
2、放大：定义滤波器取中心段的信号，并使得滤波器与中心信号段相乘等于输入信号（恢复为原来的信号）的傅里叶变换即可",困难,采样
理想采样与恢复,"完整系统流程：
1、转换过程：输入信号→经过采样后的冲激串→转换成序列→转换成冲激串→滤波（通常取其中一个波）→输出信号
2、采样后的冲激串$x_p(t)$转换成序列$x[n]$：在频域表示为归一化（归成$2\pi$以内）问题，用冲激串的傅里叶变换转换（$X(j\omega)$）成离散的序列的傅里叶变换（$X(e^{j\Omega})$）,$\Omega$和$\omega$之间的关系为$\omega = \frac {\Omega}{T}$（直接代入到冲激串的傅里叶变换）（$T$一般是小于1的值，所以相当于将整个冲激串的频域图形做了压缩，并且是压缩到了$2\pi$以内；连续的冲激串转换成离散序列，只是将间隔为T的串，伸展成了间隔为1的序列，时域伸展，频域压缩）
3、$x[n],y[n]$之间的转换：完全离散的（符合大部分信号的实际运用场景，也是为什么这个系统很重要的原因）
4、序列$y[n]$转换成冲激串$y_p(t)$：在频域表示为延展问题（上述压缩后的信号恢复到原来应有的频域宽度），离散的序列的傅里叶变换（$Y(e^{j\Omega})$）转换成冲激串的傅里叶变换转换（$Y(j\omega)$），$\Omega$和$\omega$之间的关系为$\Omega=\omega T$（直接代入到离散序列傅里叶变换）（$T$一般是小于1的值，所以相当于将整个离散序列的频域图形做了伸展，并且是回到原有的频域范围；离散序列转换成连续的冲激串，只是将间隔为1的序列，伸展成了间隔为T的串，时域压缩，频域伸展）
5、信号的频域损失：信号的损失是在采样过程就发生了的，主要表现为高频信号有部分叠加到一起导致无法区分
6、信号的频域幅度：频域信号的幅度产生$\frac 1{T}$的变化，该变化是在采样的时候引入的，其中分子中的$2\pi$是在频域相乘时消掉的（冲激串的傅里叶级数）
7、连续角频率与离散角频率之间的关系$\Omega=\omega T$推导：由于采样信号可以表示为$x_{p}(t)=\sum_{n=-\infty}^{+\infty} x_{c}(n T) \delta(t-n T)$，由于$\delta(t-n T)$的傅里叶变换是$\mathrm{e}^{-\mathrm{j} \omega n T}$（注意这里没有用时域信号相乘频域卷积的性质，因为这里需要得到一个级数形式与离散的傅里叶变换进行对比），所以得到级数表示式$X_{p}(\mathrm{j} \omega)=\sum_{n=-\infty}^{+\infty} x_{c}(n T) \mathrm{e}^{-\mathrm{j} \omega n T}$，又因为离散的傅里叶变换表示式为$X_{d}\left(\mathrm{e}^{\mathrm{j} \Omega}\right)=\sum_{n=-\infty}^{+\infty} x_{d}[n] \mathrm{e}^{-\mathrm{j} \Omega n}$，并且在时域上有$x_{d}[n]=x_{c}(n T)$，所以将采样后的信号的离散傅里叶变换与连续傅里叶变换对比可以得到$\Omega=\omega T$
注意：采样后的冲激串转序列时，$u(nT) \rightarrow u[n]$",困难,采样
求解拉普拉斯变换,"拉普拉斯变换：
1、有限指数信号：（带有三角（注意三角展开成指数形式是含有$j$的），指数，阶跃信号（指数为0））转换成指数形式，利用常见的变换对（注意是左半边还是右半边信号）
2、有限的非指数信号：利用拉普拉斯变换定义式求解（可利用拉普拉斯变换的微分和积分性质，转换成较简单信号）
3、无限的三角信号：利用变换对求解
4、无限指数信号：利用特征值法求解
5、单向周期延拓的信号：先求解一个周期内的拉氏变换，对于延拓相当于与冲激序列卷积，也就是相当于在频域频移，时域的卷积和在频域求解乘积和即可（注意标注收敛域）
6、逆系统的拉普拉斯变换：频域零点和极点互换，时域$x$与$y$互换位置
注意：标注拉普拉斯变换的收敛域（$Re\{s\}$的形式）
——————————————————————————
单边拉普拉斯变换：
1、定义求解（利用拉普拉斯与单边拉普拉斯的关系）
2、时移或者微分后的信号的单边拉普拉斯：使用定义求解，可以使用原信号的积分表示其中的一部分<小蓝书 P237 7-36>
——————————————————————————
拉普拉斯逆变换：
1、部分分式展开：处理有理式（预处理：时移、频移）
2、围线积分法（利用留数定理）：不考吧
注意：时移和频移性质的运用
——————————————————————————
拉普拉斯变换收敛和收敛域的确定：
1、收敛：保证拉普拉斯分析式的实数部分积分值有限
2、收敛域：所有可以使拉普拉斯分析式收敛的值","中等, 重点",拉普拉斯变换
拉普拉斯收敛域,"拉普拉斯收敛域的性质：
1、频域相乘后的收敛域：取两个频域的$ROC$的交集；如果有零点和极点抵消的情况，$ROC$可能会扩大范围
2、右边信号、左边信号、有限信号和双边信号的收敛域特性：左右边信号收敛域与信号方向一致；有限信号收敛域为整个平面；双边信号收敛域为带状区域，或者不存在
3、因果信号收敛域的特性：$ROC$在右半平面（对于有限的因果信号，收敛域是全域）（即因果一定包含正无穷）
4、稳定系统（绝对可积）的收敛域特性：$ROC$包含$jw$轴
5、极点与收敛域的关系：收敛域中不包含任何的极点；极点是收敛域的边界
6、收敛域和有理式确定时域表达式：利用左右信号的$ROC$范围特性关系
7、时域有限的信号的收敛域特性：$ROC$为全平面
8、时域信号的积分为频域的零处的值：（频域和时域的对应关系，即傅里叶变换的对应关系）如果积分为有限值说明收敛域包括$s=0$（包含$jw$轴）
9、奇、偶信号的收敛域：由于偶函数信号为双边信号，所以偶函数的收敛域如果存在一定是带状，奇信号同理
注意：时移和频移性质的运用
注意：零点不影响拉普拉斯变换的$ROC$
——————————————————————————
会改变收敛域的性质：
1、频域相乘：$ROC$取两个频域信号的交集，如果存在零点和极点抵消的情况，而且刚好是抵消的决定ROC边界的部分，$ROC$会扩大范围
2、S域平移：$ROC$也会随着平移
3、时域反褶：$ROC$发生关于$y$轴的对称变换
4、时域积分：引入新的极点，$ROC$变为$\{ ROC \cap R \gt 0 \}$
5、尺度变换：尺度变换会对现有的零点和极点的位置放缩，如果变换的参数小于0，那么还会进行类似反褶的$ROC$变换
——————————————————————————
不会改变收敛域的性质：
1、时域平移：时移不会引入新的极点，并且是原信号是同类型（左右边）的信号，不改变$ROC$
2、时域微分：引入新的零点，不改变$ROC$",中等,拉普拉斯变换
零极图,"零极图的求解：（求解拉普拉斯变换或Z变换的零点和极点）（Z变换化简成正幂判断）
1、（有理式）零点：分子为0的点；若分母阶数大于分子阶数，则无穷远也有一个零点（可能带阶数）（零点为0）
2、（有理式）极点：分母为0的点；若分子阶数大于分母阶数，则无穷远也有一个极点（可能带阶数）（极点无穷大）
3、（非有理式的零点和极点）利用数学上的极限求解；或者分子分母分别等于0来求解零点和极点，可能会发生抵消
注意：实信号的非实数极点和零点分别是共轭对称的，除非是在实轴上（$X(s)=X^*(s^*)$，对于零点共轭对称的情况，当$X(s)$为零时$X(s^*)$也是零；对于极点共轭对称的情况，将$X(s),X^*(s^*)$分别取倒数相等，与零点讨论一致）
注意：无穷远点处的零点和极点容易忽略
问题：正无穷和负无穷的极点算是一个吗？是的
——————————————————————————
零极图的变换：（拉氏变换）
1、构造具有相同幅频的拉普拉斯变换有理式表示：将零极点按照$y$轴对称变换，不会改变有理式的幅频特性
2、构造具有相同相频的拉普拉斯变换有理式表示：
2.1、单个极点的变换：将极点或者零点按照$y$轴对称变换，如果是变换的极点，分子需要补$s^2$（y轴对称变换之后角度变为原来（$\theta$）的$\pi - \theta$，分子补$s^2$或者补$-1$（也能使得分子角度为$\pi$），则分子角度增加了$\pi$，所以总的$\pi - [\pi - \theta] = \theta$，可与原先一致）；如果变换的是零点？
2.2、零点与极点成对变换：极点与零点互换身份，相角的差值不会改变（变换之前：$\theta - \alpha$，变换之后：$[\pi - \alpha] - [\pi - \theta] $），从而具有相同的相频
——————————————————————————
判定连续傅里叶变换的性质：（拉氏变换）
1、幅频的求解：分子的模除以分母的模，$s$在$y$轴上移动时的变化情况
2、相频的求解：分子的角度减去分母的角度，$s$在$y$轴上移动时的变化情况
3、如果零点或者极点是纵向排列且是无限的，则幅频和相频都是周期的，周期为极点或者零点的间隔；在$w$与极点或零点处于同一水平位置时，此时绝对值的积最小，相频为0（导致幅频值最大或者最小，取决于排列的是极点还是零点）（问题：如何证明）
注意：低通（低频高），高通（高频高）、带通（低频和高频处很低，低频低的不明显的算低通）
——————————————————————————
判定离散傅里叶变换的性质：（Z变换）
1、幅频的求解：分子的模除以分母的模，$z$在单位圆上移动时变化的情况
2、相频的求解：分子的角度减去分母的角度，$z$在单位圆上移动时变化的情况
3、如果零点或者极点是圆周排列的，则幅频和相频都是周期的，周期为极点或者零点的间隔；在$\theta$与极点或零点处于同一条极坐标直线位置时，此时绝对值的积最小，相频为0（导致幅频值最大或者最小，取决于排列的是极点还是零点）（问题：如何证明）
4、如果是有限个零点或者极点对称排列：当在$\theta$与极点或零点处于同一条极坐标直线位置时，此时绝对值的积最小
注意：低通（低频高），高通（高频高）、带通（低频和高频处很低，低频低的不明显的算低通）
备注：全通系统有时分析可以用三角形相似性质或者数学上的余弦公式<参见小绿书8-25>
备注：根据收敛域写$H(z)$时不要忘记常系数$K$",中等,"Z变换, 拉普拉斯变换"
根据电路图求解系统函数/电路的分析,"1、电容：电流与电压变化率的关系（$v_{C}(t)=\frac{1}{C} \int_{-\infty}^{t} i_{c}(\tau) d \tau \Rightarrow i_{C}(t)=C \frac{d v_{C}(t)}{d t} \Rightarrow I_{C}(s)=s C V_{C}(s)-C v_{C}\left(0^{-}\right)$；$ V_{C}(s)=\frac{1}{s C} I_{C}(s)+\frac{1}{s} v_{c}\left(0_{-}\right)$）（在计算电流）（电容等效源电压的部分为$\frac{1}{s} v_{c}\left(0_{-}\right)$，方向与原电压$v_{c}\left(0_{-}\right)$方向相同）
2、电感：电压与电流变化率的关系（$v_{L}(t)=L \frac{d i_{L}(t)}{d t} \Rightarrow V_{L}(s)=L (s I_{L}(s)- i_{L}\left(0_{-})\right)$；$I_{L}(s)=\frac{1}{s L} V_{L}(s)+\frac{1}{s} i_{L}\left(0^{-}\right)$）（电感等效源电压的部分为$- L i_{L}\left(0_{-}\right)$，方向与原电流$i_{L}\left(0_{-}\right)$方向相反）
3、电阻：电压与电流的线性关系（$v_{R}(t)=R i_{R}(t)\Rightarrow V_{R}(s)=R I_{R}(s)$）
4、回路电流和回路电压方程：画出电路的S域模型，并将初始条件转换为源电压；列出来各个回路的KCL方程，联立求解
5、稳态情况：当存在电感的电路达到稳态时（具有恒压源之类的），电感相当于导线，不会对电路造成影响","中等, 重点",拉普拉斯变换
状态方程定义与建立,"相关定义：
1、状态变量：二阶系统状态变量$x_1(t),x_2(t)$，激励（输入变量）为$e(t)$，输出变量为$y_1(t),y_2(t)$（输出不一定是二阶）（状态变量是描述系统所需的最少的一组变量，根据这组变量在$t=t_0$时刻的值和系统的激励，就可以唯一确定系统在$t≥t_0$后任意时刻的响应）
2、状态方程：状态变量的一阶导数（离散时是状态变量的单位延时）与状态变量及输入变量之间的关系（方程左端是状态变量的一阶导数，右端是用状态变量和输入信号表示，方程不包含微分和积分运算）（状态方程描述了系统内部的状态）（状态方程描述了状态响应）
3、输出方程：输出变量与输入变量之间的关系（方程中不包含变量的微分和积分运算）（输出方程描述了系统的输入输出关系）（输出方程描述了输出响应）
4、方程表达式：$\begin{aligned}&\dot{x}(t)=A(t) x(t)+B(t) v(t) \\&y(t)=C(t) x(t)+D(t) v(t)\end{aligned}$，在状态方程中，$A(t)$是一个$N*N$的矩阵，$x(t)$是列状态变量，$B(t)$是一个$N$行的列向量，$v(t)$是关于$t$的输入函数变量，$C(t)$是一个$N$列的行向量，$D(t)$是一个关于$t$的实数函数变量，展开描述为$\begin{aligned}&\dot{x}_{1}(t)=a_{11} x_{1}(t)+a_{12} x_{2}(t)+\cdots+a_{1 N} x_{N}(t)+b_{1} v(t) \\&\dot{x}_{2}(t)=a_{21} x_{1}(t)+a_{22} x_{2}(t)+\cdots+a_{2 N} x_{N}(t)+b_{2} v(t) \\&\vdots \\&\dot{x}_{N}(t)=a_{N 1} x_{1}(t)+a_{N 2} x_{2}(t)+\cdots+a_{N N} x_{N}(t)+b_{N} v(t)\end{aligned}$和$y(t)=c_{1} x_{1}(t)+c_{2} x_{2}(t)+\cdots+c_{N} x_{N}(t)+d v(t)$
——————————————————————————
由电路图建立状态方程：
1、状态变量选取：将电容电压，电感电流设为状态变量
2、建立状态方程：根据$KCL$和$KVL$建立电路的方程关系，化简得到状态方程（n个方程组成的方程组）
3、建立输出方程：根据电路的方程电压电流关系获取到输出和电容电流电压（即状态变量）的关系（1个方程）
——————————————————————————
由系统框图或者信号流图建立状态方程：
1、状态变量选取：选取积分器的输出为状态变量，对方框图或者信号流图进行标注
2、建立状态方程：建立状态变量的导数与其它状态变量的关系，得到状态方程（n个方程组成的方程组）
3、建立输出方程：由输出节点与状态变量之间的关系建立输出方程（1个方程）
注意：对于信号流图，从一个多输入节点取值，是取的该节点多输入相加后的值
——————————————————————————
由微分方程建立状态方程：（或者说是由H(S)建立状态方程）
1、获取到系统的H(S)：H(S)表示成有理式形式，分子分母同时乘X(s)，拆分成分子分母两个微分方程
2、状态变量选取：按照x(t)从低阶到高阶，依次设状态变量$x_1(t)$、$x_1(t)$、$\cdots$、$x_n(t)$
3、建立状态方程：由设置状态变量的规则得到的有状态变量之间的导数关系（n-1个方程）和由分母建立的微分方程得到的输入与状态变量的关系（1个方程）得到状态方程（n个方程组成的方程组）
4、建立输出方程：由分子建立的微分方程得到的输出与状态变量的关系（1个方程）（需要化简至不存在状态变量的导数形式）","中等, 重点",拉普拉斯变换
状态方程基础与时域求解,"状态方程求解基础：
1、矩阵指数式：$e^{A t}=I+A t+\frac{A^{2} t^{2}}{2 !}+\frac{A^{3} t^{3}}{3 !}+\frac{A^{4} t^{4}}{4 !}+\cdots$，其中$A$是矩阵
2、矩阵指数的导数性质：$\frac{d}{d t} e^{A t} =A+A^{2} t+\frac{A^{3} t^{2}}{2 !}+\frac{A^{4} t^{3}}{3 !}+\cdots=A(I+A t+\frac{A^{2} t^{2}}{2 !}+\frac{A^{3} t^{3}}{3 !}+\cdots)  = A e^{A t}=e^{A t} A$（其实与指数的直接求导是一致的）
3、导数性质与解的关系：$\dot{x}(t)=A x(t), \quad t>0$的解就是$x(t)=e^{A t} x(0), \quad t \geq 0$（由矩阵指数导数的对应关系对比得到的，其中$x(0)$常系数是为了保证等号成立），其中$e^{A t}$被称为系统的状态转换矩阵
4、待解的方程表示：$\begin{aligned}&\dot{x}(t)=A x(t)+B v(t) \\&y(t)=C x(t)+D v(t)\end{aligned}$
——————————————————————————
连续时间系统状态方程的求解：（时域法）
1、状态方程推导过程：对于方程$\dot{x}(t)=A x(t)+B v(t)$，两边同时左乘$e^{-A t}$，得到$e^{-A t}[\dot{x}(t)-A x(t)]=e^{-A t} B v(t)$，移位化简得到$\frac{d}{d t}\left[e^{-A t} x(t)\right]=e^{-A t} B v(t)$，两边同时积分得到$e^{-A t} x(t)=x(0)+\int_{0}^{t} e^{-A \lambda} B v(\lambda) d \lambda$，化简为$x(t)=e^{A t} x(0)+\int_{0}^{t} e^{A(t-\lambda)} B v(\lambda) d \lambda, \quad t \geq 0$，积分转成卷积形式可得$x(t)=e^{A t} x(0)+e^{A t} * B v(t), \quad t \geq 0$
2、状态方程求解结果：$x(t)=e^{A t} x(0)+\int_{0}^{t} e^{A(t-\lambda)} B v(\lambda) d \lambda, \quad t \geq 0$（卷积形式$x(t)=e^{A t} x(0)+e^{A t} * B v(t), \quad t \geq 0$）
